camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,grade_date,record_date,inspection_type
40939600,BANQUET KITCHEN (MARRIOTT),MANHATTAN,85,WEST STREET,10006,2123856511,American,2017-02-07T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,32,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40763376,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,BROOKLYN,918B,FULTON STREET,11238,7187891833,Caribbean,2016-09-15T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50051745,ORCHARD BEACH SNACK BAR SECTION 5,BRONX,1,ORCHARD BEACH RD,10464,6462294471,CafÃ©/Coffee/Tea,2016-08-10T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,18,,,2018-10-09T06:00:44+00:00,Pre-permit (Non-operational) / Initial Inspection
41677452,GYRO UNO,QUEENS,2801,STEINWAY STREET,11103,7182744870,Greek,2016-06-24T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2016-06-24T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50045354,MCDONALD'S,MANHATTAN,280,MADISON AVE,10016,2125761539,Hamburgers,2018-06-05T00:00:00+00:00,Violations were cited in the following area(s).,16D,"Posted caloric content on the menu(s), menu board(s), food tag(s) or stanchions adjacent to menu boards for drive-through windows deficient, in that the size and/or font for posted calories is not as prominent as the name of the menu item or its price.",Not Critical,,,,2018-10-09T06:00:44+00:00,Calorie Posting / Initial Inspection
50018504,MERRY LAND BUFFET,BRONX,505,E 163RD ST,10451,7182923455,Chinese,2016-03-17T00:00:00+00:00,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,43,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50075323,HUNGRY BURRITO TACOS,QUEENS,811,SENECA AVE,11385,7182075413,Tex-Mex,2018-04-21T00:00:00+00:00,Violations were cited in the following area(s).,15F,,Not Applicable,,,,2018-10-09T06:00:44+00:00,Smoke-Free Air Act / Initial Inspection
41656176,BEST LUNCHEONETTE,BROOKLYN,1758,BATH AVENUE,11214,7182361708,American,2015-12-02T00:00:00+00:00,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,22,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41533145,SAL'S PIZZERIA,BROOKLYN,119,WYCKOFF AVENUE,11237,7183865299,Pizza,2015-06-11T00:00:00+00:00,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,49,C,2015-06-11T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40884503,EL CUENCANITO,QUEENS,9912,ALSTYNE AVE,11368,7182711721,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2016-02-03T00:00:00+00:00,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,18,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50007074,BLESSINGS HERBS & COFFEE,BROOKLYN,663,FLATBUSH AVE,11225,3477709746,CafÃ©/Coffee/Tea,2016-05-16T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50008317,EL PATRON RESTAURANT & LOUNGE,STATEN ISLAND,520,BAY ST,10304,3478617065,Mexican,2017-10-18T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41661174,V {iv} Thai Restaurant & Bar,MANHATTAN,138,EAST   34 STREET,10016,2122133317,Thai,2017-09-06T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40401093,FRENCH ROAST,MANHATTAN,2340,BROADWAY,10024,2127991533,French,2018-09-27T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2018-09-27T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50057005,SHU HAN JU RESTAURANT II,MANHATTAN,58,3RD AVE,10003,2123588898,Chinese,2017-12-07T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2017-12-07T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50043778,CECI'S RESTAURANT,BROOKLYN,423,HEGEMAN AVE,11207,7188225550,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-12-18T00:00:00+00:00,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,20,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
41610229,ACCRA RESTAURANT,BRONX,270,EAST  165 STREET,10456,7182937302,African,2018-06-06T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,2018-06-06T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50059256,THE PIZZA PARLOR,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,2018-07-02T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,Z,2018-07-02T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50010039,HUNAN CHEN'S KITCHEN,MANHATTAN,1003,COLUMBUS AVE,10025,2122221118,Chinese,2018-04-19T00:00:00+00:00,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,18,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50054864,MCBEANS RESTAURANT,BROOKLYN,1501,FLATBUSH AVE,11210,3477709111,Caribbean,2016-12-09T00:00:00+00:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,55,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50052463,JENAVIES CAFE,BRONX,2920,BRUCKNER BLVD,10465,7186841324,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2018-08-30T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40859658,KIMCHEE KOREAN RESTAURANT,BROOKLYN,9324,3 AVENUE,11209,7185675741,Korean,2017-02-03T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41548669,FOOD LIN,BROOKLYN,399,5 AVENUE,11215,7187681188,Chinese,2016-08-01T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,6,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50056031,WORD UP CAFE,BROOKLYN,652,PENNSYLVANIA AVE,11207,3479031755,CafÃ©/Coffee/Tea,2016-10-03T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,,,2018-10-09T06:00:44+00:00,Pre-permit (Non-operational) / Initial Inspection
41281381,RED BOWL CHINESE RESTAURANT,BROOKLYN,208,BEDFORD AVENUE,11249,7183888898,Chinese,2017-08-29T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,B,2017-08-29T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40920005,COSI,MANHATTAN,55,BROAD STREET,10004,2123445000,Sandwiches/Salads/Mixed Buffet,2016-10-07T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2016-10-07T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50065184,SKINNY'S SATAY,MANHATTAN,353,W 14TH ST,10014,9176736958,American,2017-10-17T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,2017-10-17T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50074107,ZAIQA RESTAURANT,BROOKLYN,2031,BATH AVE,11214,7189757702,Middle Eastern,2018-04-04T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,34,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50066224,PATISSERIE,MANHATTAN,225,LIBERTY ST,10280,2129818588,Bakery,2018-04-02T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50046870,PROJECT BRUNCH,STATEN ISLAND,4553,ARTHUR KILL RD,10309,7186059866,American,2017-01-19T00:00:00+00:00,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,24,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50017071,SELENA ROSA MEXICANA,MANHATTAN,1712,2ND AVE,10128,2127224242,Tex-Mex,2016-03-24T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,40,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41618219,MORSO,MANHATTAN,420,EAST   59 STREET,10022,2127592706,Italian,2016-09-14T00:00:00+00:00,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,2016-09-14T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50018511,SAUVAGE,BROOKLYN,905,LORIMER ST,11222,7184866816,French,2017-05-25T00:00:00+00:00,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,2017-05-25T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41719056,CHINA MOON,MANHATTAN,7,EAST 47 STREET,10017,2122074787,Chinese,2017-06-26T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41595620,CAFE LORE,BROOKLYN,4601,4 AVENUE,11220,7184927100,Italian,2016-06-09T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2016-06-09T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41430956,TJ'S TASTY CORNER,BROOKLYN,2225,TILDEN AVENUE,11226,7184844783,Caribbean,2016-03-16T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,30,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41645715,CHI DUMPLING HOUSE,MANHATTAN,77,CHRISTIE ST,,2122198850,Chinese,2017-04-28T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2017-04-28T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41580502,FLORIDITA RESTAURANT UPTOWN 2 INC,MANHATTAN,3856,10 AVENUE,10034,2125674848,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2017-12-20T00:00:00+00:00,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,11,A,2017-12-20T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50034817,SUSHI PARA 88,MANHATTAN,212,W 14TH ST,10011,2128821089,Japanese,2017-08-22T00:00:00+00:00,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,2017-08-22T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50074838,DREXLER'S,MANHATTAN,9,AVENUE A,10009,9732241749,American,2018-04-25T00:00:00+00:00,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,2018-04-25T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50034851,MAISON KAYSER,MANHATTAN,355,GREENWICH ST,10013,2129663200,Bakery,2018-04-06T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2018-04-06T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41038028,UKRAINIAN RESTAURANT,MANHATTAN,140142,2 AVENUE,,2126143283,Eastern European,2017-01-30T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50018171,GOURMET BAGEL SHOPPE,BROOKLYN,6220,AVENUE U,11234,7182099109,Bagels/Pretzels,2015-10-06T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41626921,CARIBBEAN TOP GRILL,BROOKLYN,2077,NOSTRAND AVENUE,11210,3472951385,Caribbean,2015-08-17T00:00:00+00:00,Establishment re-opened by DOHMH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,P,2015-08-17T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Reopening Inspection
50035310,DANTE,MANHATTAN,79-81,MACDOUGAL ST,10012,2129825275,Italian,2016-06-24T00:00:00+00:00,Violations were cited in the following area(s).,15I,''''No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted,Not Critical,,,,2018-10-09T06:00:44+00:00,Smoke-Free Air Act / Re-inspection
50019047,CLAUDIO PIZZERIA RESTORANTE,MANHATTAN,598,10TH AVE,10036,2125863145,Pizza/Italian,2017-10-24T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,2017-10-24T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40738028,ALI'S ROTI SHOP,BRONX,4220,WHITE PLAINS ROAD,10466,7186552178,Caribbean,2015-04-14T00:00:00+00:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,47,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40601006,LA BRUSCHETTA RESTAURANT,BROOKLYN,256,7 AVENUE,11215,7184994994,Pizza/Italian,2018-09-06T00:00:00+00:00,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,44,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41313594,MUMBAI XPRESS,QUEENS,25605,HILLSIDE AVENUE,11004,7184700059,Indian,2017-07-12T00:00:00+00:00,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,17,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50009808,PIO PIO BROOKLYN,BROOKLYN,282,KINGS HWY,11223,7186273744,Peruvian,2017-11-30T00:00:00+00:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,54,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50044988,MCDONALD'S,BROOKLYN,741,GRAND ST,11211,7183025024,American,2016-02-02T00:00:00+00:00,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,6,A,2016-02-02T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
40701605,BAHARI ESTIATORIO,QUEENS,3114,BROADWAY,11106,7182048968,Greek,2016-01-11T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,2016-01-11T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40524888,SISTERS CUISINE,MANHATTAN,1931,MADISON AVENUE,10035,2124103000,Caribbean,2017-06-06T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,35,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50000655,STEVES PIZZA,BROOKLYN,603,SUTTER AVE,11207,7184985566,Pizza,2015-11-10T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41288039,YAMATO JAPANESE CUISINE,QUEENS,3323,FRANCIS LEWIS BOULEVARD,11358,7183211893,Japanese,2018-08-16T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,2018-08-16T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41561546,RUDY'S BAKERY,QUEENS,905,SENECA AVENUE,11385,7188215890,Bakery,2017-03-29T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2017-03-29T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50042074,YES GARDEN,STATEN ISLAND,183,BROAD ST,10304,7184428271,Chinese,2015-12-16T00:00:00+00:00,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,B,2015-12-16T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Re-inspection
41112530,ATRIUM CINEMAS,STATEN ISLAND,680,ARTHUR KILL ROAD,10308,7189843859,American,2017-08-15T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2017-08-15T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50033472,MY PIZZA,BRONX,1723,UNIVERSITY AVE,10453,7182990059,Pizza,2016-05-24T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,51,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50017223,FAIRFIELD INN & SUITES NEW YORK MANHATTAN FINANCIAL DISTRICT,MANHATTAN,161,FRONT ST,10038,2128260001,Continental,2015-04-01T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,21,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
41250435,VINNIE'S PIZZERIA,BROOKLYN,148,BEDFORD AVENUE,11249,7187827078,Pizza/Italian,2018-03-19T00:00:00+00:00,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,22,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41643108,KAI FENG FU DUMPLING HOUSE,BROOKLYN,4801,8 AVENUE,11220,7184373542,Chinese,2017-11-01T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41705740,CUCUMBER,STATEN ISLAND,4215,HYLAN BLVD,10308,7186059500,Japanese,2018-02-13T00:00:00+00:00,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,10,A,2018-02-13T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50058023,OLIVER COFFEE,MANHATTAN,5,OLIVER ST,10038,4153176266,CafÃ©/Coffee/Tea,2017-01-19T00:00:00+00:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,22,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
41614641,IL BARETTO,MANHATTAN,750,11 AVENUE,10019,2127572270,Italian,2018-05-23T00:00:00+00:00,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,12,A,2018-05-23T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50054404,EL NUEVO JOBO RESTAURANT & BAR,MANHATTAN,3915,BROADWAY,10032,2127401616,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2018-06-05T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,24,B,2018-06-05T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41708952,BEIJING STYLE BARBEQUE,QUEENS,4183,BOWNE STREET,11355,9176210210,Chinese,2015-10-31T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,B,2015-10-31T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40680918,ELI'S TABLE,MANHATTAN,1411,3 AVENUE,10028,2127179798,American,2018-09-29T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,32,Z,2018-09-29T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41396655,DUGOUT LOUNGE INSEAT PANTRY 3B,BRONX,1,EAST  161 STREET,10451,6469778523,American,2017-07-25T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2017-07-25T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50013049,SOHO KTV & BAR,QUEENS,3202,LINDEN PL,11354,7183581115,Chinese,2018-10-05T00:00:00+00:00,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,35,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41396673,STAND 107,BRONX,1,EAST  161 STREET,10451,9172843260,Sandwiches,2017-08-15T00:00:00+00:00,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,2017-08-15T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50044824,SUBWAY,BRONX,91,E 161ST ST,10451,7185889100,Sandwiches,2017-04-11T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
