Title,Authors,Journal,Publication date,Research area,Cell Line,Cell Type,Species,Analyzer,XF Assay,Plate Reader Assay,Seeding density,Plate coating
Fatty acid metabolism complements glycolysis in the selective regulatory T cell expansion during tumor growth,I. Pacella,,Jun 26 2018 12:00 AM,Cancer Research,T-cells,Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Fatty acid metabolism complements glycolysis in the selective regulatory T cell expansion during tumor growth,I. Pacella,,Jun 26 2018 12:00 AM,Immunology Research,T-cells,Immune Cells,Mouse,96,Glycolysis Stress Test,,Not Specified,Not Specified
Fatty acid metabolism complements glycolysis in the selective regulatory T cell expansion during tumor growth,I. Pacella,,Jun 26 2018 12:00 AM,Cancer Research,T-cells,Immune Cells,Mouse,96,Glycolysis Stress Test,,Not Specified,Not Specified
Fatty acid metabolism driven mitochondrial bioenergetics promotes advanced developmental phenotypes in human induced pluripotent stem cell derived cardiomyocytes,"C. J. A. Ramachandra, A. Mehta, P. Wong, K. Ja, R. Fritsche-Danielson, R. V. Bhat, D. J. Hausenloy, J. P. Kovalik and W. Shim",Int J Cardiol,Dec 1 2018 12:00 AM,Stem Cell Biology,Cardiac Stem Cell,Cardiomyocytes,Human,24,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
Fatty acid metabolism driven mitochondrial bioenergetics promotes advanced developmental phenotypes in human induced pluripotent stem cell derived cardiomyocytes,"C. J. A. Ramachandra, A. Mehta, P. Wong, K. Ja, R. Fritsche-Danielson, R. V. Bhat, D. J. Hausenloy, J. P. Kovalik and W. Shim",Int J Cardiol,Dec 1 2018 12:00 AM,Cardiovascular Research,Cardiac Stem Cell,Cardiomyocytes,Human,24,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
Fatty Acid Nitroalkenes Induce Resistance to Ischemic Cardiac Injury by Modulating Mitochondrial Respiration at Complex II,"Koenitzer JR, Bonacci G, Woodcock SR, Chen C-S, Cantu-Medellin N, Kelley EE, Schopfer FJ",Redox Biology,Nov 1 2015 12:00 AM,Cardiovascular Research,H9c2,Cardiac Cells,Rat,24,Substrate utilization,,2.0 x10^4 cells/well,Not Specified
Fatty acid oxidation by the osteoblast is required for normal bone acquisition in a sex- and diet-dependent manner,"Kim SP, Li Z, Zoch ML, Frey JL, Bowman CE, Kushwaha P, Ryan KA, Goh BC, Scafidi S, Pickett JE, Faugere MC, Kershaw EE, Thorek DLJ, Clemens TL, Wolfgang MJRiddle RC",JCI Insight,Aug 17 2017 12:00 AM,Cell Physiology Research,Osteoblasts,Osteoblast Cells,Human,96,Basal Metabolic Assay,,2.0 x10^4 cells/well,Not Specified
Fatty acid oxidation contributes to IL-1_ secretion in M2 macrophages and promotes macrophage-mediated tumor cell migration,"Zhang Q, Wang H, Mao C, Sun M, Dominah G, Chen LZhuang Z",Mol Immunol,Dec 14 2017 12:00 AM,Immunology Research,HepG2,Hepatocarcinoma Cells,Human,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Fatty acid oxidation contributes to IL-1_ secretion in M2 macrophages and promotes macrophage-mediated tumor cell migration,"Zhang Q, Wang H, Mao C, Sun M, Dominah G, Chen LZhuang Z",Mol Immunol,Dec 14 2017 12:00 AM,Cancer Research,Hep3B,Hepatocarcinoma Cells,Mouse,96,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
Fatty acid oxidation in macrophage polarization,"Nomura M, Liu J, Rovira II, Gonzalez-Hurtado E, Lee J, Wolfgang MJ, Finkel T",Nat Immunol,Feb 1 2016 12:00 AM,Immunology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,24,Fatty Acid Oxidation,,0.25 x10^6 cells/well,Not Specified
Fatty acid oxidation is dispensable for human macrophage IL-4-induced polarization,"Namgaladze D, Br�ne B.",Biochim Biophys Acta,Jun 1 2014 12:00 AM,Immunology Research,Macrophage,Immune Cells,Human,96,Basal Metabolic Assay,,5.0x10^4 cells/well,Not Specified
Fatty Acid Oxidation is Impaired in An Orthologous Mouse Model of Autosomal Dominant Polycystic Kidney Disease,"Menezes LF, Lin C-C, Zhou F, Germino GG",EBioMedicine,Jan 1 2016 12:00 AM,Nephrology Research,Kidney Epithelial cells,Kidney Cells,Mouse,24,Fatty Acid Oxidation,,3.0 x10^4 cells/well,Not Specified
Fatty Acid Oxidation is Impaired in An Orthologous Mouse Model of Autosomal Dominant Polycystic Kidney Disease,"Menezes LF, Lin C-C, Zhou F, Germino GG",EBioMedicine,Jan 1 2016 12:00 AM,Nephrology Research,Kidney Epithelial cells,Kidney Cells,Mouse,24,Glycolysis Stress Test,,6.0 x10^4 cells/well,Not Specified
Fatty Acid Oxidation is Impaired in An Orthologous Mouse Model of Autosomal Dominant Polycystic Kidney Disease,"Menezes LF, Lin C-C, Zhou F, Germino GG",EBioMedicine,Jan 1 2016 12:00 AM,Cell Physiology Research,Kidney Epithelial cells,Kidney Cells,Mouse,24,Fatty Acid Oxidation,,3.0 x10^4 cells/well,Not Specified
Fatty Acid Oxidation is Impaired in An Orthologous Mouse Model of Autosomal Dominant Polycystic Kidney Disease,"Menezes LF, Lin C-C, Zhou F, Germino GG",EBioMedicine,Jan 1 2016 12:00 AM,Cell Physiology Research,Kidney Epithelial cells,Kidney Cells,Mouse,24,Glycolysis Stress Test,,6.0 x10^4 cells/well,Not Specified
Fatty acid oxidation is required for the respiration and proliferation of malignant glioma cells,"Lin H, Patel S, Affleck VS, Wilson I, Turnbull DM, Joshi AR, Maxwell R, Stoll EA",Neuro Oncol,Jun 1 2016 12:00 AM,Neurobiology Research,G144,Neuronal Cells,Human,24,Fatty Acid Oxidation,,1.0 x10^5 cells/well,Not Specified
Fatty acid oxidation is required for the respiration and proliferation of malignant glioma cells,"Lin H, Patel S, Affleck VS, Wilson I, Turnbull DM, Joshi AR, Maxwell R, Stoll EA",Neuro Oncol,Jun 1 2016 12:00 AM,Neurobiology Research,G144,Neuronal Cells,Human,24,Substrate utilization,,1.0 x10^5 cells/well,Not Specified
Fatty acid oxidation promotes reprogramming by enhancing oxidative phosphorylation and inhibiting protein kinase C,"Z. Lin, F. Liu, P. Shi, A. Song, Z. Huang, D. Zou, Q. Chen, J. Li and X. Gao",Stem Cell Res Ther,Feb 26 2018 12:00 AM,Stem Cell Biology,MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,2.5 x10^4 cells/well,Not Specified
Fatty acid oxidation promotes reprogramming by enhancing oxidative phosphorylation and inhibiting protein kinase C,"Z. Lin, F. Liu, P. Shi, A. Song, Z. Huang, D. Zou, Q. Chen, J. Li and X. Gao",Stem Cell Res Ther,Feb 26 2018 12:00 AM,Techniques & Methods,MEF,Embryonic Fibroblasts,Mouse,24,Fatty Acid Oxidation,,2.5 x10^4 cells/well,Not Specified
Fatty acid oxidation promotes reprogramming by enhancing oxidative phosphorylation and inhibiting protein kinase C,"Z. Lin, F. Liu, P. Shi, A. Song, Z. Huang, D. Zou, Q. Chen, J. Li and X. Gao",Stem Cell Res Ther,Feb 26 2018 12:00 AM,Stem Cell Biology,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,2.5 x10^4 cells/well,Not Specified
Fatty acid oxidation promotes reprogramming by enhancing oxidative phosphorylation and inhibiting protein kinase C,"Z. Lin, F. Liu, P. Shi, A. Song, Z. Huang, D. Zou, Q. Chen, J. Li and X. Gao",Stem Cell Res Ther,Feb 26 2018 12:00 AM,Techniques & Methods,MEF,Embryonic Fibroblasts,Mouse,24,Cell Mitochondrial Stress Test,,2.5 x10^4 cells/well,Not Specified
Fatty Acid Oxidation-Driven Src Links Mitochondrial Energy Reprogramming and Oncogenic Properties in Triple-Negative Breast Cancer,"Park JH, Vithayathil S, Kumar S, Sung PL, Dobrolecki LE, Putluri V, Bhat VB, Bhowmik SK, Gupta V, Arora K, Wu D, Tsouko E, Zhang Y, Maity S, Donti TR, Graham BH, Frigo DE, Coarfa C, Yotnda P, Putluri N, Sreekumar A, Lewis MT, Creighton CJ, Wong LC, Kaippa",Cell Rep,Feb 1 2016 12:00 AM,Cancer Research,MDA-MB-231,Breast Cancer Cells,Human,24,Fatty Acid Oxidation,,Not Specified,Not Specified
Fatty Acid Oxidation-Driven Src Links Mitochondrial Energy Reprogramming and Oncogenic Properties in Triple-Negative Breast Cancer,"Park JH, Vithayathil S, Kumar S, Sung PL, Dobrolecki LE, Putluri V, Bhat VB, Bhowmik SK, Gupta V, Arora K, Wu D, Tsouko E, Zhang Y, Maity S, Donti TR, Graham BH, Frigo DE, Coarfa C, Yotnda P, Putluri N, Sreekumar A, Lewis MT, Creighton CJ, Wong LC, Kaippa",Cell Rep,Feb 1 2016 12:00 AM,Cancer Research,SUM-159PT,Breast Cancer Cells,Human,24,Fatty Acid Oxidation,,Not Specified,Not Specified
Fatty Acid Oxidation-Driven Src Links Mitochondrial Energy Reprogramming and Oncogenic Properties in Triple-Negative Breast Cancer,"Park JH, Vithayathil S, Kumar S, Sung PL, Dobrolecki LE, Putluri V, Bhat VB, Bhowmik SK, Gupta V, Arora K, Wu D, Tsouko E, Zhang Y, Maity S, Donti TR, Graham BH, Frigo DE, Coarfa C, Yotnda P, Putluri N, Sreekumar A, Lewis MT, Creighton CJ, Wong LC, Kaippa",Cell Rep,Feb 1 2016 12:00 AM,Cancer Research,AIN 4,Breast Cells,Human,24,Fatty Acid Oxidation,,Not Specified,Not Specified
"Fatty Acid Trafficking in Starved Cells: Regulation by Lipid Droplet Lipolysis, Autophagy, and Mitochondrial Fusion Dynamics","Rambold AS, Cohen S, Lippincott-Schwartz J",Dev Cell,Mar 1 2015 12:00 AM,Cell Physiology Research,MEF,Embryonic Fibroblasts,Mouse,96,Substrate utilization,,2.0 x10^4 cells/well,Fibronectin
Fatty acids stimulate insulin secretion from human pancreatic islets at fasting glucose concentrations via mitochondria-dependent and -independent mechanisms,"Cen J, Sargsyan E, Bergsten P",Nutr Metab (Lond),Aug 1 2016 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Islets,Pancreatic Cells,Human,96,Fatty Acid Oxidation,,10 islets/well,poly-D-lysine
FBW7 (F-box and WD repeat domain-containing 7) negatively regulates glucose metabolism by targeting the c-Myc/TXNIP (thioredoxin binding protein) axis in pancreatic cancer,"Ji S, Qin Y, Liang C, Huang R, Shi S, Liu J, Jin K, Liang D, Xu W, Zhang B, Liu L, Liu C, Xu J, Ni Q, Chiao PJ, Li M, Yu XJ",Clin Cancer Res,Mar 1 2016 12:00 AM,Cancer Research,SW 1990,Pancreatic Cancer Cells,Human,96,Substrate utilization,,4.0 x10^4 cells/well,Not Specified
FBW7 (F-box and WD repeat domain-containing 7) negatively regulates glucose metabolism by targeting the c-Myc/TXNIP (thioredoxin binding protein) axis in pancreatic cancer,"Ji S, Qin Y, Liang C, Huang R, Shi S, Liu J, Jin K, Liang D, Xu W, Zhang B, Liu L, Liu C, Xu J, Ni Q, Chiao PJ, Li M, Yu XJ",Clin Cancer Res,Mar 1 2016 12:00 AM,Cancer Research,PANC-1,Pancreatic cells,Human,96,Substrate utilization,,4.0 x10^4 cells/well,Not Specified
FBW7 (F-box and WD repeat domain-containing 7) negatively regulates glucose metabolism by targeting the c-Myc/TXNIP (thioredoxin binding protein) axis in pancreatic cancer,"Ji S, Qin Y, Liang C, Huang R, Shi S, Liu J, Jin K, Liang D, Xu W, Zhang B, Liu L, Liu C, Xu J, Ni Q, Chiao PJ, Li M, Yu XJ",Clin Cancer Res,Mar 1 2016 12:00 AM,Cancer Research,SW 1990,Pancreatic Cancer Cells,Human,96,Glycolysis Stress Test,,4.0 x10^4 cells/well,Not Specified
FBW7 (F-box and WD repeat domain-containing 7) negatively regulates glucose metabolism by targeting the c-Myc/TXNIP (thioredoxin binding protein) axis in pancreatic cancer,"Ji S, Qin Y, Liang C, Huang R, Shi S, Liu J, Jin K, Liang D, Xu W, Zhang B, Liu L, Liu C, Xu J, Ni Q, Chiao PJ, Li M, Yu XJ",Clin Cancer Res,Mar 1 2016 12:00 AM,Cancer Research,PANC-1,Pancreatic cells,Human,96,Glycolysis Stress Test,,4.0 x10^4 cells/well,Not Specified
Fc_RI co-stimulation converts human intestinal CD103(+) dendritic cells into pro-inflammatory cells through glycolytic reprogramming,"I. S. Hansen, L. Krabbendam, J. H. Bernink, F. Loayza-Puch, W. Hoepel, J. A. van Burgsteden, E. C. Kuijper, C. J. Buskens, W. A. Bemelman, S. A. J. Zaat, R. Agami, G. Vidarsson, G. R. van den Brink, E. C. de Jong, M. E. Wildenberg, D. L. P. Baeten, B. Eve",Nat Commun,Feb 28 2018 12:00 AM,Immunology Research,Dendritic Cells (CD103+),Immune Cells,Human,96,Other,,3.0 x10^4 cells/well,IgA
Fenofibrate Suppresses Oral Tumorigenesis via Reprogramming Metabolic Processes: Potential Drug Repurposing for Oral Cancer,"Jan CI, Tsai MH, Chiu CF, Huang YP, Liu CJ, Chang NW",Int J Biol Sci,May 1 2016 12:00 AM,Cancer Research,SAS,Head and Neck Cancer Cells,Human,24,Substrate utilization,,7.0 x10^4 cells/well,Not Specified
Fenofibrate Suppresses Oral Tumorigenesis via Reprogramming Metabolic Processes: Potential Drug Repurposing for Oral Cancer,"Jan CI, Tsai MH, Chiu CF, Huang YP, Liu CJ, Chang NW",Int J Biol Sci,May 1 2016 12:00 AM,Cancer Research,SAS,Head and Neck Cancer Cells,Human,24,Glycolysis Stress Test,,7.0 x10^4 cells/well,Not Specified
Ferulic acid-loaded nanostructured lipid carriers: A promising nanoformulation against the ischemic neural injuries,"P. Hassanzadeh, E. Arbabi, F. Atyabi and R. Dinarvand",Life Sci,Jan 15 2018 12:00 AM,Neurobiology Research,PC12,HeLa,Rat,Plate Reader,,MitoXpress Xtra Oxygen Consumption Assay,Not Specified,Not Specified
Ferulic acid-loaded nanostructured lipid carriers: A promising nanoformulation against the ischemic neural injuries,"P. Hassanzadeh, E. Arbabi, F. Atyabi and R. Dinarvand",Life Sci,Jan 15 2018 12:00 AM,Cell Physiology Research,PC12,HeLa,Rat,Plate Reader,,MitoXpress Xtra Oxygen Consumption Assay,Not Specified,Not Specified
Ferulic acid-loaded nanostructured lipid carriers: A promising nanoformulation against the ischemic neural injuries,"P. Hassanzadeh, E. Arbabi, F. Atyabi and R. Dinarvand",Life Sci,Jan 15 2018 12:00 AM,Assays under Hypoxia,PC12,HeLa,Rat,Plate Reader,,MitoXpress Xtra Oxygen Consumption Assay,Not Specified,Not Specified
FEZF1-AS1/miR-107/ZNF312B axis facilitates progression and Warburg effect in pancreatic ductal adenocarcinoma,"H. Ye, Q. Zhou, S. Zheng, G. Li, Q. Lin, L. Ye, Y. Wang, L. Wei, X. Zhao, W. Li, Z. Fu, Y. Liu, Z. Li and R. Chen",Cell Death Dis,Jan 18 2018 12:00 AM,Cancer Research,PDAC,Pancreatic Cancer Cells,Mouse,96,Glycolysis Stress Test,,5.0 x10^4 cells/well,Not Specified
FGF9-induced ovarian cancer cell invasion involves VEGF-A/VEGFR2 augmentation by virtue of ETS1 upregulation and metabolic reprogramming,"R. Bhattacharya, S. Ray Chaudhuri and S. S. Roy",J Cell Biochem,Jun 15 2018 12:00 AM,Cancer Research,PA1,Ovarian Cancer Cells,Human,24,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
FGF9-induced ovarian cancer cell invasion involves VEGF-A/VEGFR2 augmentation by virtue of ETS1 upregulation and metabolic reprogramming,"R. Bhattacharya, S. Ray Chaudhuri and S. S. Roy",J Cell Biochem,Jun 15 2018 12:00 AM,Cancer Research,SKOV3,Ovarian Cancer Cells,Human,24,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
FGF-dependent metabolic control of vascular development,"Yu P, Wilhelm K, Dubrac A, Tung JK, Alves TC, Fang JS, Xie Y, Zhu J, Chen Z, De Smet F, Zhang J, Jin SW, Sun L, Sun H, Kibbey RG, Hirschi KK, Hay N, Carmeliet P, Chittenden TW, Eichmann A, Potente MSimons M",Nature,May 11 2017 12:00 AM,Immunology Research,Human Dermal Lymphatic Endothelial Cells (HDLEC),Endothelial Cells,Human,96,Glycolysis Stress Test,,4.0 x10^4 cells/well,fibronectin
FGFR4 Links Glucose Metabolism and Chemotherapy Resistance in Breast Cancer,"M. Xu, S. Chen, W. Yang, X. Cheng, Y. Ye, J. Mao, X. Wu, L. Huang and J. Ji",Cell Physiol Biochem,May 11 2018 12:00 AM,Cancer Research,MCF-7,Breast Cancer Cells,Human,96,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
FGFR4 Links Glucose Metabolism and Chemotherapy Resistance in Breast Cancer,"M. Xu, S. Chen, W. Yang, X. Cheng, Y. Ye, J. Mao, X. Wu, L. Huang and J. Ji",Cell Physiol Biochem,May 11 2018 12:00 AM,Cancer Research,MDA-MB-231,Breast Cancer Cells,Human,96,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
Fibroblast growth factor receptor inhibition induces loss of matrix MCL1 and necrosis in cholangiocarcinoma,"A. Kabashima, P. Hirsova, S. F. Bronk, M. C. Hernandez, M. J. Truty, S. Rizvi, S. H. Kaufmann and G. J. Gores",J Hepatol,Mar 8 2018 12:00 AM,Cancer Research,KMCH-1,Hepatocarcinoma Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Fibroblast growth factor receptor inhibition induces loss of matrix MCL1 and necrosis in cholangiocarcinoma,"A. Kabashima, P. Hirsova, S. F. Bronk, M. C. Hernandez, M. J. Truty, S. Rizvi, S. H. Kaufmann and G. J. Gores",J Hepatol,Mar 8 2018 12:00 AM,Immunology Research,KMCH-1,Hepatocarcinoma Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Fibroblast growth factor-21 enhances mitochondrial functions and increases the activity of PGC-1a in human dopaminergic neurons via Sirtuin-1,"M�kel� J, Tselykh TV, Maiorana F, Eriksson O, Do HT, Mud� G, Korhonen LT, Belluardo N, Lindholm D.",Springerplus,Jan 1 2014 12:00 AM,Neurobiology Research,MESC2.10,Neuronal cells,Human,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Fibroblasts Mobilize Tumor Cell Glycogen to Promote Proliferation and Metastasis,"M. Curtis, H. A. Kenny, B. Ashcroft, A. Mukherjee, A. Johnson, Y. Zhang, Y. Helou, R. Batlle, X. Liu, N. Gutierrez, X. Gao, S. D. Yamada, R. Lastra, A. Montag, N. Ahsan, J. W. Locasale, A. R. Salomon, A. R. Nebreda and E. Lengyel",Cell Metab,Aug 28 2018 12:00 AM,Cancer Research,TYK-nu,Ovarian Cancer Cells,Human,96,Cell Mitochondrial Stress Test,,1.0 x10^4 cells/well,Not Specified
Fibroblasts Mobilize Tumor Cell Glycogen to Promote Proliferation and Metastasis,"M. Curtis, H. A. Kenny, B. Ashcroft, A. Mukherjee, A. Johnson, Y. Zhang, Y. Helou, R. Batlle, X. Liu, N. Gutierrez, X. Gao, S. D. Yamada, R. Lastra, A. Montag, N. Ahsan, J. W. Locasale, A. R. Salomon, A. R. Nebreda and E. Lengyel",Cell Metab,Aug 28 2018 12:00 AM,Cancer Research,TYK-nu,Ovarian Cancer Cells,Human,96,Glycolysis Stress Test,,1.0 x10^4 cells/well,Not Specified
Fine-Tuning of CD8+ T Cell Mitochondrial Metabolism by the Respiratory Chain Repressor MCJ Dictates Protection to Influenza Virus,"Champagne DP, Hatle KM, Fortner KA, DAlessandro A, Thornton TM, Yang R, Torralba D, Tom�s-Cort�zar J, Jun YW, Ahn KH, Hansen KC, Haynes L, Anguita J, Rincon M",Immunity,May 1 2016 12:00 AM,Immunology Research,T-cells,T-cells,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Fine-Tuning of CD8+ T Cell Mitochondrial Metabolism by the Respiratory Chain Repressor MCJ Dictates Protection to Influenza Virus,"Champagne DP, Hatle KM, Fortner KA, DAlessandro A, Thornton TM, Yang R, Torralba D, Tom�s-Cort�zar J, Jun YW, Ahn KH, Hansen KC, Haynes L, Anguita J, Rincon M",Immunity,May 1 2016 12:00 AM,Immunology Research,T-cells,T-cells,Mouse,24,Glucose Utilization,,Not Specified,Not Specified
Fine-Tuning of CD8+ T Cell Mitochondrial Metabolism by the Respiratory Chain Repressor MCJ Dictates Protection to Influenza Virus,"Champagne DP, Hatle KM, Fortner KA, DAlessandro A, Thornton TM, Yang R, Torralba D, Tom�s-Cort�zar J, Jun YW, Ahn KH, Hansen KC, Haynes L, Anguita J, Rincon M",Immunity,May 1 2016 12:00 AM,Immunology Research,T-cells,T-cells,Mouse,24,Mitochondrial Respiratory Complex Assay,,Not Specified,Cell-Tak
FLIPL is critical for aerobic glycolysis in hepatocellular carcinoma,"Lei S, Yang J, Chen C, Sun J, Yang L, Tang H, Yang T, Chen A, Zhao H, Li Y, Du X",J Exp Clin Cancer Res,May 1 2016 12:00 AM,Cancer Research,HepG2,Hepatocarcinoma Cells,Human,24,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
Flow Responsive Vascular Endothelial Growth Factor Receptor-Protein Kinase C Isoform Epsilon Signaling Mediates Glycolytic Metabolites for Vascular Repair,Baek,Antioxid Redox Signal,Aug 1 2017 12:00 AM,Cardiovascular Research,Human Aortic Endothelial Cells,Cardiac Cells,Human,24,Switch Assay,,2.0 x10^4 cells/well,Not Specified
Flow vibration-doubled concentric system coupled with low ratio amine to produce bile acid-macrocapsules of _-cells,"Mooranian A, Negrulj R, Al-Salami H",Ther Deliv,Mar 1 2016 12:00 AM,Cell Metabolism in Technology,NIT-1 cells,Pancreatic Cells,Mouse,96,Substrate utilization,,Not Specified,Not Specified
Fluazinam impairs oxidative phosphorylation and induces hyper/hypo-activity in a dose specific manner in zebrafish larvae,"X. H. Wang, S. S. Zheng, T. Huang, L. M. Su, Y. H. Zhao, C. L. Souders, 2nd and C. J. Martyniuk",Chemosphere,Jul 12 2018 12:00 AM,Toxicology Research,Whole embryo,Zebrafish,Zebrafish,24,Other,,1 embryo/well,Not Specified
Fluazinam impairs oxidative phosphorylation and induces hyper/hypo-activity in a dose specific manner in zebrafish larvae,"X. H. Wang, S. S. Zheng, T. Huang, L. M. Su, Y. H. Zhao, C. L. Souders, 2nd and C. J. Martyniuk",Chemosphere,Jul 12 2018 12:00 AM,Model Organisms,Whole embryo,Zebrafish,Zebrafish,24,Other,,1 embryo/well,Not Specified
Fluorescence Lifetime Imaging of a Caspase-3 Apoptosis Reporter,"J. M. Buschhaus, A. E. Gibbons, K. E. Luker and G. D. Luker",Curr Protoc Cell Biol,Dec 11 2017 12:00 AM,Techniques & Methods,MDA-MB-231,Breast Cancer Cells,Human,96,Glycolysis Stress Test,,5.0 x10^3 cells/well,Not Specified
Fluorescence Lifetime Imaging of a Caspase-3 Apoptosis Reporter,"J. M. Buschhaus, A. E. Gibbons, K. E. Luker and G. D. Luker",Curr Protoc Cell Biol,Dec 11 2017 12:00 AM,Cancer Research,MDA-MB-231,Breast Cancer Cells,Human,96,Glycolysis Stress Test,,5.0 x10^3 cells/well,Not Specified
Fluorescence Lifetime Imaging of Apoptosis,"Xiao A, Gibbons AE, Luker KE, Luker GD",Tomography,Dec 1 2015 12:00 AM,Cell Metabolism in Technology,MDA-MB-231,Breast Cancer Cells,Human,96,Glycolysis Stress Test,,10x10^3 cells/well,Not Specified
Fluorescence Lifetime Imaging of Apoptosis,"Xiao A, Gibbons AE, Luker KE, Luker GD",Tomography,Dec 1 2015 12:00 AM,Cell Physiology Research,MDA-MB-231,Breast Cancer Cells,Human,96,Glycolysis Stress Test,,10 x10^3 cells/well,Not Specified
"Fluorescent Carbon Dots Derived from Maillard Reaction Products: Their Properties, Biodistribution, Cytotoxicity, and Antioxidant Activity","D. Li, X. Na, H. Wang, Y. Xie, S. Cong, Y. Song, X. Xu, B. W. Zhu and M. Tan",J Agric Food Chem,Feb 14 2018 12:00 AM,Food & Nutritional Research,HepG2,Hepatocarcinoma Cells,Human,Xfp,Other,,1.0 x10^4 cells/well,Not Specified
"Fluorescent Carbon Dots Derived from Maillard Reaction Products: Their Properties, Biodistribution, Cytotoxicity, and Antioxidant Activity","D. Li, X. Na, H. Wang, Y. Xie, S. Cong, Y. Song, X. Xu, B. W. Zhu and M. Tan",J Agric Food Chem,Feb 14 2018 12:00 AM,Toxicology Research,HepG2,Hepatocarcinoma Cells,Human,Xfp,Other,,1.0 x10^4 cells/well,Not Specified
"Fnip1 regulates skeletal muscle fiber type specification, fatigue resistance, and susceptibility to muscular dystrophy","Reyes NL, Banks GB, Tsang M, Margineantu D, Gu H, Djukovic D, Chan J, Torres M, Liggitt HD, Hirenallur-S DK, Hockenbery DM, Raftery D, Iritani BM",Proc Natl Acad Sci U S A,Dec 1 2014 12:00 AM,Cell Physiology Research,Muscle Fiber,Muscle Fiber,Mouse,24,Basal Metabolic Assay,,Not Specified,Matrigel
Focal adhesion kinase-promoted tumor glucose metabolism is associated with a shift of mitochondrial respiration to glycolysis,"Zhang J, Gao Q, Zhou Y, Dier U, Hempel N, Hochwald SN",Oncogene,Jun 1 2015 12:00 AM,Cancer Research,MIA PaCa-2,Pancreatic Cancer Cells,Human,24-Mar,Substrate utilization,,4.0 x10^4 cells/well,Not Specified
Focused screening of mitochondrial metabolism reveals a crucial role for a tumor suppressor Hbp1 in ovarian reserve,"Dong Z, Huang M, Liu Z, Xie P, Dong Y, Wu X, Qu Z, Shen B, Huang X, Zhang T, Li J, Liu J, Yanase T, Zhou C, Xu Y",Cell Death Differ,May 1 2016 12:00 AM,Cancer Research,Granulosa cells,Ovarian Cells,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Focused screening of mitochondrial metabolism reveals a crucial role for a tumor suppressor Hbp1 in ovarian reserve,"Dong Z, Huang M, Liu Z, Xie P, Dong Y, Wu X, Qu Z, Shen B, Huang X, Zhang T, Li J, Liu J, Yanase T, Zhou C, Xu Y",Cell Death Differ,May 1 2016 12:00 AM,Cancer Research,Granulosa cells,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,5.0 x10^4 cells/well,Not Specified
Focused screening of mitochondrial metabolism reveals a crucial role for a tumor suppressor Hbp1 in ovarian reserve,"Dong Z, Huang M, Liu Z, Xie P, Dong Y, Wu X, Qu Z, Shen B, Huang X, Zhang T, Li J, Liu J, Yanase T, Zhou C, Xu Y",Cell Death Differ,May 1 2016 12:00 AM,Cancer Research,Granulosa cells,Ovarian Cancer Cells,Human,24,Glycolysis Stress Test,,5.0 x10^4 cells/well,Not Specified
Folate cycle enzyme MTHFD1L confers metabolic advantages in hepatocellular carcinoma,"Lee D, Xu IM, Chiu DK, Lai RK, Tse AP, Lan Li L, Law CT, Tsang FH, Wei LL, Chan CY, Wong CM, Ng IOWong CC",J Clin Invest,May 1 2017 12:00 AM,Cancer Research,MHCC97L,Hepatocarcinoma Cells,Human,XFp,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Folate cycle enzyme MTHFD1L confers metabolic advantages in hepatocellular carcinoma,"Lee D, Xu IM, Chiu DK, Lai RK, Tse AP, Lan Li L, Law CT, Tsang FH, Wei LL, Chan CY, Wong CM, Ng IOWong CC",J Clin Invest,May 1 2017 12:00 AM,Toxicology Research,MHCC97L,Hepatocarcinoma Cells,Human,XFp,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
Folate cycle enzyme MTHFD1L confers metabolic advantages in hepatocellular carcinoma,"Lee D, Xu IM, Chiu DK, Lai RK, Tse AP, Lan Li L, Law CT, Tsang FH, Wei LL, Chan CY, Wong CM, Ng IOWong CC",J Clin Invest,May 1 2017 12:00 AM,Cancer Research,shMTHFD1L,Hepatocarcinoma Cells,Human,XFp,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
