State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
CALIFORNIA,MERCED,2017-25,BACCIARINI,MORSE,MURDER,"WC,TX",D,04/21/2017,30,0,30,INSTALLED AND USED,20,354,50,"7,090",118,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-26,BACCIARINI,MORSE,MURDER,"WC,TX",D,04/21/2017,30,0,30,INSTALLED AND USED,20,181,95,"3,638",647,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-27,BACCIARINI,MORSE,MURDER,"WC,TX",D,04/21/2017,30,0,30,INSTALLED AND USED,20,186,65,"3,736",40,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-28,BACCIARINI,MORSE,MURDER,"WC,TX",D,02/22/2017,30,2,90,INSTALLED AND USED,78,207,133,"16,161","1,049",0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-29,BACCIARINI,MORSE,MURDER,"WC,EE,EO",D,04/21/2017,30,0,30,INSTALLED AND USED,20,73,59,"1,464",90,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-30,BACCIARINI,MORSE,MURDER,"WC,EE,EO",D,02/27/2017,30,2,90,INSTALLED AND USED,73,101,256,"7,420",462,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-31,BACCIARINI,MORSE,MURDER,"WC,TX",D,04/28/2017,30,0,30,INSTALLED AND USED,13,953,164,"12,397",22,"280,510","87,550",71,0,0,0,0,21,,
CALIFORNIA,MERCED,2017-32,BACCIARINI,MORSE,MURDER,"WC,EE,EO",D,02/27/2017,30,2,90,INSTALLED AND USED,73,36,159,"2,695",518,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-33,BACCIARINI,MORSE,MURDER,"WC,TX",D,04/11/2017,30,0,30,INSTALLED AND USED,30,153,151,"4,618",605,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-34,BACCIARINI,MORSE,MURDER,"WC,TX",D,02/22/2017,30,2,90,INSTALLED AND USED,78,217,181,"16,949",478,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-35,BACCIARINI,MORSE,MURDER,"WC,TX",D,03/23/2017,30,1,60,INSTALLED AND USED,55,207,278,"11,426","3,942",0,0,0,0,0,0,0,0,RELATED TO NO. 2017-31,RELATED TO NO. 2017-31
CALIFORNIA,MERCED,2017-36,BACCIARINI,MORSE,MURDER,"WC,TX",D,09/08/2017,30,0,30,INSTALLED AND USED,28,1929,218,"54,018","1,131","39,900","6,700",1,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-1,MENNIGER,RACKAUCKAS,MURDER,WC,D,01/17/2017,30,0,30,INSTALLED AND USED,29,397,3,"11,532",992,"68,400","3,600",9,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-2,MENNIGER,RACKAUCKAS,MURDER,WC,D,01/27/2017,30,0,30,INSTALLED AND USED,15,184,2,"2,761",503,"34,800","2,400",0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-3,JENSEN,RACKAUCKAS,MURDER,WC,D,04/20/2017,30,0,30,INSTALLED AND USED,5,1,6,6,2,"4,000","1,000",1,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-4,MENNIGER,RACKAUCKAS,NARCOTICS,WC,D,04/13/2017,60,1,60,INSTALLED AND USED,60,45,100,"2,755",529,"57,168","1,000",0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-5,MENNIGER,TANIZAKI,MURDER,WC,D,06/01/2017,30,0,30,INSTALLED AND USED,10,35,29,359,35,"1,642",442,0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-6,MENNIGER,RACKAUCKAS,MURDER,WC,D,07/11/2017,30,0,30,INSTALLED AND USED,13,40,25,525,22,"9,675","1,500",0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-7,MENNIGER,RACKAUCKAS,NARCOTICS,WC,D,08/04/2017,30,0,30,INSTALLED AND USED,30,79,66,"2,391","1,687","7,200","1,200",0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-8,MENNIGER,TANIZAKI,NARCOTICS,WC,D,08/15/2017,30,1,60,INSTALLED AND USED,30,103,90,"3,108",448,0,0,0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-9,JENSEN,TANIZAKI,NARCOTICS,WC,D,09/12/2017,30,0,30,INSTALLED AND USED,30,154,49,"4,629","1,331","64,644",0,0,0,0,0,0,0,,
CALIFORNIA,ORANGE,2017-10,JENSEN,TANIZAKI,NARCOTICS,WC,D,09/14/2017,30,0,30,INSTALLED AND USED,30,50,90,"1,508",256,"34,145",0,2,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-1,DUGAN,HESTRIN,NARCOTICS,WC,D,12/14/2016,30,1,30,INSTALLED AND USED,21,0,3,5,0,"9,594","1,200",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-2,DUGAN,HESTRIN,NARCOTICS,WC,D,11/17/2016,30,1,60,INSTALLED AND USED,55,75,26,"4,176","2,049","58,800","6,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-3,DUGAN,HESTRIN,NARCOTICS,WC,D,11/04/2016,30,2,90,INSTALLED AND USED,83,257,41,"21,411","5,732","88,200","9,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-4,DUGAN,HESTRIN,NARCOTICS,WC,D,12/02/2016,30,1,60,INSTALLED AND USED,55,86,36,"4,756","1,580","58,800","6,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-5,GUNN,HESTRIN,NARCOTICS,WC,D,01/12/2017,30,1,30,INSTALLED AND USED,16,37,14,607,86,"29,400","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-6,GUNN,HESTRIN,NARCOTICS,WC,D,01/10/2017,30,1,30,INSTALLED AND USED,18,17,6,318,117,"29,400","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-7,DUGAN,HESTRIN,NARCOTICS,WC,D,09/08/2016,30,4,150,INSTALLED AND USED,141,18,175,"2,648","1,187","107,000","12,500",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-8,DUGAN,HESTRIN,NARCOTICS,WC,D,10/31/2016,30,2,90,INSTALLED AND USED,89,1239,170,"110,303","40,813","86,451","9,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-9,DONNER,HESTRIN,NARCOTICS,WC,D,10/11/2016,30,3,120,INSTALLED AND USED,120,173,23,"20,837","6,962","137,000","8,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-10,DUGAN,HESTRIN,NARCOTICS,WC,D,12/02/2016,30,2,90,INSTALLED AND USED,90,616,35,"55,442","11,051","138,600","9,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-11,GUNN,HESTRIN,NARCOTICS,WC,D,01/10/2017,30,1,30,INSTALLED AND USED,30,319,24,"9,595","3,940","71,800","7,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-12,GUNN,HESTRIN,NARCOTICS,WC,D,02/08/2017,30,1,30,INSTALLED AND USED,6,77,11,463,175,"6,420","1,500",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-13,GUNN,HESTRIN,NARCOTICS,WC,D,01/12/2017,30,1,60,INSTALLED AND USED,34,320,24,"10,902","4,210","27,480","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-14,DONNER,HESTRIN,NARCOTICS,WC,D,10/11/2016,30,4,150,INSTALLED AND USED,150,281,45,"42,271","9,544","173,900","1,100",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-15,DUGAN,HESTRIN,NARCOTICS,WC,D,12/30/2016,30,1,60,INSTALLED AND USED,60,60,140,"3,636",264,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-16,GUNN,HESTRIN,NARCOTICS,WC,D,01/27/2017,30,1,30,INSTALLED AND USED,30,289,10,"8,695","3,938","24,600","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-17,DUGAN,HESTRIN,NARCOTICS,WC,D,12/02/2016,30,2,90,INSTALLED AND USED,90,414,"37,277","37,277","10,439","1,404,260","21,582",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-18,GUNN,HESTRIN,NARCOTICS,WC,D,02/15/2017,30,1,30,INSTALLED AND USED,16,30,22,491,96,"14,210","1,500",2,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-19,GUNN,HESTRIN,NARCOTICS,WC,D,02/02/2017,30,1,30,INSTALLED AND USED,30,35,96,"1,076",75,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-20,GUNN,HESTRIN,NARCOTICS,WC,D,02/08/2017,30,1,30,INSTALLED AND USED,30,459,91,"13,792","1,438","20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-21,GUNN,HESTRIN,NARCOTICS,WC,D,03/15/2017,30,0,30,INSTALLED AND USED,30,278,54,"8,362","3,616","52,520","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-22,GUNN,HESTRIN,NARCOTICS,WC,D,02/10/2017,30,1,30,INSTALLED AND USED,30,256,38,"7,706","3,190","47,200","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-23,GUNN,HESTRIN,NARCOTICS,WC,D,02/07/2017,30,1,30,INSTALLED AND USED,40,192,10,"7,686","3,077","25,600","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-24,GUNN,HESTRIN,NARCOTICS,WC,D,01/18/2017,30,1,60,INSTALLED AND USED,60,137,159,"8,234","1,797","20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-25,DUGAN,HESTRIN,NARCOTICS,WC,D,12/20/2016,30,2,90,INSTALLED AND USED,90,321,"28,948","28,948","20,056","75,529","5,065",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-26,GUNN,HESTRIN,NARCOTICS,WC,D,02/17/2017,30,1,30,INSTALLED AND USED,30,11,61,353,95,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-27,DUGAN,HESTRIN,NARCOTICS,WC,D,12/19/2016,30,2,90,INSTALLED AND USED,90,347,52,"31,317","12,111","85,600","10,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-28,GUNN,HESTRIN,NARCOTICS,WC,D,03/03/2017,30,0,30,INSTALLED AND USED,30,486,45,"14,592","2,541","48,200","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-29,GUNN,HESTRIN,NARCOTICS,WC,D,03/16/2017,30,0,30,INSTALLED AND USED,20,14,1,291,150,"16,400","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-30,GUNN,HESTRIN,NARCOTICS,WC,D,03/03/2017,30,1,60,INSTALLED AND USED,33,143,26,"4,729","1,980","52,520","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-31,GUNN,HESTRIN,NARCOTICS,WC,D,01/25/2017,30,1,60,INSTALLED AND USED,73,1102,121,"80,477","14,654","69,800","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-32,GUNN,HESTRIN,NARCOTICS,WC,D,02/17/2017,30,1,30,INSTALLED AND USED,60,38,74,"2,284",752,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-33,GUNN,HESTRIN,NARCOTICS,WC,D,02/22/2017,30,1,60,INSTALLED AND USED,60,28,"1,701","1,701",789,"21,926","2,026",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-34,GUNN,HESTRIN,NARCOTICS,WC,D,03/30/2017,30,1,60,INSTALLED AND USED,40,145,22,"5,822",949,"30,800","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-35,GUNN,HESTRIN,NARCOTICS,WC,D,04/13/2017,30,0,30,INSTALLED AND USED,20,46,12,931,316,"31,800","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-36,GUNN,HESTRIN,NARCOTICS,WC,D,04/13/2017,30,0,30,INSTALLED AND USED,30,131,18,"3,946","2,079","50,520","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-37,GUNN,HESTRIN,NARCOTICS,WC,D,04/05/2017,30,1,60,INSTALLED AND USED,40,131,17,"5,248","2,368","50,520","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-38,GUNN,HESTRIN,NARCOTICS,WC,D,03/30/2017,30,1,60,INSTALLED AND USED,50,120,25,"6,010","3,040","51,520","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-39,GUNN,HESTRIN,NARCOTICS,WC,D,04/13/2017,30,0,30,INSTALLED AND USED,30,100,12,"3,002","1,087","16,400","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-40,GUNN,HESTRIN,NARCOTICS,WC,D,03/30/2017,30,1,60,INSTALLED AND USED,60,89,59,"5,398","2,403","85,200","6,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-41,GUNN,HESTRIN,NARCOTICS,WC,D,01/20/2017,30,3,120,INSTALLED AND USED,120,165,35,"19,902","7,497","114,000","6,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-42,GUNN,HESTRIN,NARCOTICS,WC,D,04/26/2017,30,0,30,INSTALLED AND USED,,,,,,0,0,0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-43,GUNN,HESTRIN,NARCOTICS,WC,D,04/27/2017,30,0,30,INSTALLED AND USED,30,1163,89,"34,893","8,629","16,400","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-44,GUNN,HESTRIN,NARCOTICS,WC,D,03/03/2017,30,2,90,INSTALLED AND USED,,,,,,0,0,0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-45,DUGAN,HESTRIN,NARCOTICS,WC,D,12/06/2016,30,5,180,INSTALLED AND USED,,,,,,0,0,0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-46,GUNN,HESTRIN,NARCOTICS,WC,D,04/27/2017,30,1,30,INSTALLED AND USED,30,410,27,"12,326","5,037","23,600","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-47,DUGAN,HESTRIN,MURDER,WC,D,05/26/2017,30,0,30,INSTALLED AND USED,6,337,575,"2,022",32,"1,600","1,600",1,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-48,GUNN,HESTRIN,NARCOTICS,WC,D,02/07/2017,30,3,120,INSTALLED AND USED,,,,,,0,0,0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-49,GUNN,HESTRIN,NARCOTICS,WC,D,03/09/2017,30,2,90,INSTALLED AND USED,90,54,171,"4,924","1,698","20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-50,GUNN,HESTRIN,NARCOTICS,WC,D,05/09/2017,30,0,30,INSTALLED AND USED,30,11,33,333,139,"64,725","2,141",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-51,GUNN,HESTRIN,NARCOTICS,WC,D,05/11/2017,30,0,30,INSTALLED AND USED,30,196,22,"5,896","1,548","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-52,GUNN,HESTRIN,NARCOTICS,WC,D,05/10/2017,30,0,30,INSTALLED AND USED,30,831,2,"24,944","5,877","68,800","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-53,DONNER,HESTRIN,NARCOTICS,WC,D,05/16/2017,30,0,30,INSTALLED AND USED,30,382,36,"11,477","4,272","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-54,DONNER,HESTRIN,NARCOTICS,WC,D,05/16/2017,30,0,30,INSTALLED AND USED,30,382,13,"11,461","5,657","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-55,GUNN,HESTRIN,NARCOTICS,WC,D,04/18/2017,30,1,60,INSTALLED AND USED,60,42,"2,533","2,533",677,"119,587","12,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-56,GUNN,HESTRIN,NARCOTICS,WC,D,05/18/2017,30,0,30,INSTALLED AND USED,30,189,10,"5,696","2,647","44,300","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-57,GUNN,HESTRIN,NARCOTICS,WC,D,05/23/2017,30,0,30,INSTALLED AND USED,30,298,110,"8,958","2,189","46,403","4,500",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-58,GUNN,HESTRIN,NARCOTICS,WC,D,04/21/2017,30,1,60,INSTALLED AND USED,60,343,63,"20,608","10,046","48,200","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-59,GUNN,HESTRIN,NARCOTICS,WC,D,05/23/2017,30,0,30,INSTALLED AND USED,30,277,12,"8,327","3,514","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-60,GUNN,HESTRIN,MURDER,WC,D,06/02/2017,30,0,30,INSTALLED AND USED,20,10,8,219,29,"47,000","5,000",1,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-61,GUNN,HESTRIN,MURDER,WC,D,06/06/2017,30,0,30,INSTALLED AND USED,20,56,27,"1,123",118,"47,000","5,000",1,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-62,GUNN,HESTRIN,MURDER,WC,D,05/30/2017,30,0,30,INSTALLED AND USED,28,588,339,"16,465","1,239","103,800","45,000",1,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-63,GUNN,HESTRIN,NARCOTICS,WC,D,05/26/2017,30,0,30,INSTALLED AND USED,30,238,18,"7,145","1,269","45,200","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-64,GUNN,HESTRIN,NARCOTICS,WC,D,05/26/2017,30,0,30,INSTALLED AND USED,30,265,13,"7,966","3,957","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-65,GUNN,HESTRIN,NARCOTICS,WC,D,06/27/2017,30,0,30,INSTALLED AND USED,,,,,,0,0,0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-66,GUNN,HESTRIN,NARCOTICS,WC,D,06/06/2017,30,0,30,INSTALLED AND USED,25,32,6,808,233,"39,000","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-67,GUNN,HESTRIN,NARCOTICS,WC,D,05/30/2017,30,0,30,INSTALLED AND USED,30,0,24,24,5,"16,700","2,100",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-68,GUNN,HESTRIN,NARCOTICS,WC,D,06/06/2017,30,0,30,INSTALLED AND USED,30,614,25,"18,430","9,325","45,200","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-69,GUNN,HESTRIN,NARCOTICS,WC,D,06/06/2017,30,0,30,INSTALLED AND USED,30,1071,5,"32,152","13,231","45,200","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-70,GUNN,HESTRIN,NARCOTICS,WC,D,02/07/2017,30,4,150,INSTALLED AND USED,120,380,157,"45,669","12,976","249,156","14,156",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-71,GUNN,HESTRIN,NARCOTICS,WC,D,06/21/2017,30,0,30,INSTALLED AND USED,20,467,6,"9,340","4,523","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-72,GUNN,HESTRIN,NARCOTICS,WC,D,06/15/2017,30,0,30,INSTALLED AND USED,30,227,8,"6,817",211,"32,000","3,600",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-73,GUNN,HESTRIN,NARCOTICS,WC,D,06/27/2017,30,0,30,INSTALLED AND USED,18,4,5,74,43,"39,000","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-74,GUNN,HESTRIN,NARCOTICS,WC,D,06/15/2017,30,0,30,INSTALLED AND USED,19,147,103,"2,806",717,"31,868","1,500",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-75,GUNN,HESTRIN,NARCOTICS,WC,D,06/29/2017,30,0,30,INSTALLED AND USED,20,109,5,"2,187",920,"46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-76,GUNN,HESTRIN,NARCOTICS,WC,D,06/16/2017,30,0,30,INSTALLED AND USED,40,342,5,"13,680","7,027","53,240","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-77,GUNN,HESTRIN,NARCOTICS,WC,D,06/22/2017,30,0,30,INSTALLED AND USED,30,159,"4,792","4,792","1,880","16,600","2,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-78,GUNN,HESTRIN,NARCOTICS,WC,D,06/27/2017,30,0,30,INSTALLED AND USED,30,266,6,"8,009","3,422","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-79,GUNN,HESTRIN,NARCOTICS,WC,D,07/25/2017,30,0,30,INSTALLED AND USED,30,8,9,269,129,"6,492","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-80,GUNN,HESTRIN,NARCOTICS,WC,D,07/13/2017,30,0,30,INSTALLED AND USED,30,246,68,"7,389","1,668","27,688","1,500",1,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-81,GUNN,HESTRIN,NARCOTICS,WC,D,07/12/2017,30,0,30,INSTALLED AND USED,30,375,28,"11,250","4,825","69,800","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-82,GUNN,HESTRIN,NARCOTICS,WC,D,06/15/2017,30,1,60,INSTALLED AND USED,60,758,59,"45,535","14,952","90,400","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-83,GUNN,HESTRIN,NARCOTICS,WC,D,06/27/2017,30,0,30,INSTALLED AND USED,51,300,46,"15,304","5,299","90,400","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-84,GUNN,HESTRIN,NARCOTICS,WC,D,07/14/2017,30,0,30,INSTALLED AND USED,30,147,14,"4,425","1,810","67,800","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-85,GUNN,HESTRIN,NARCOTICS,WC,D,07/20/2017,30,0,30,INSTALLED AND USED,30,440,27,"13,210","5,272","67,800","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-86,GUNN,HESTRIN,NARCOTICS,WC,D,07/25/2017,30,0,30,INSTALLED AND USED,30,45,72,"1,361",129,"31,868","1,500",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-87,GUNN,HESTRIN,NARCOTICS,WC,D,06/22/2017,30,1,60,INSTALLED AND USED,60,108,521,"6,521","2,401","98,731","6,078",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-88,GUNN,HESTRIN,NARCOTICS,WC,D,05/18/2017,30,2,90,INSTALLED AND USED,90,88,30,"7,954","2,900","69,800","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-89,GUNN,HESTRIN,NARCOTICS,WC,D,07/27/2017,30,0,30,INSTALLED AND USED,30,248,6,"7,456","1,483","67,800","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-90,GUNN,HESTRIN,NARCOTICS,WC,D,07/27/2017,30,0,30,INSTALLED AND USED,30,253,15,"7,595","2,607","39,000","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-91,GUNN,HESTRIN,NARCOTICS,WC,D,08/22/2017,30,0,30,INSTALLED AND USED,10,41,23,412,29,"10,229","1,500",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-92,GUNN,HESTRIN,NARCOTICS,WC,D,07/28/2017,30,0,30,INSTALLED AND USED,30,160,8,"4,818","1,921","39,000","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-93,GUNN,HESTRIN,NARCOTICS,WC,D,08/03/2017,30,0,30,INSTALLED AND USED,30,612,15,"18,372","2,075","46,200","3,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-94,GUNN,HESTRIN,NARCOTICS,WC,D,08/03/2017,30,0,30,INSTALLED AND USED,30,1334,20,"40,044","16,963","70,800","6,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-95,GUNN,HESTRIN,NARCOTICS,WC,D,07/10/2017,30,1,60,INSTALLED AND USED,60,17,"1,075","1,075",346,"48,609","2,026",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-96,GUNN,HESTRIN,NARCOTICS,WC,D,06/15/2017,30,2,90,INSTALLED AND USED,88,196,35,"17,275","5,697","69,800","5,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-97,GUNN,HESTRIN,NARCOTICS,WC,D,07/14/2017,30,1,60,INSTALLED AND USED,56,96,16,"5,423","1,999","47,200","4,000",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-98,GUNN,HESTRIN,OTHER,WC,D,08/29/2017,30,0,30,INSTALLED AND USED,30,295,891,"8,872","1,128","100,800","2,800",20,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-99,GUNN,HESTRIN,NARCOTICS,WC,D,09/01/2017,30,0,30,INSTALLED AND USED,30,33,999,999,368,"64,806","8,078",0,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-100,GUNN,HESTRIN,OTHER,WC,D,09/30/2017,30,0,30,INSTALLED AND USED,19,46,253,887,117,"40,000","2,000",4,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-101,GUNN,HESTRIN,MURDER,WC,D,09/12/2017,30,0,30,INSTALLED AND USED,30,524,157,"15,744",462,"97,800","16,800",3,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-102,GUNN,HESTRIN,MURDER,WC,D,09/22/2017,30,0,30,INSTALLED AND USED,20,0,1,13,1,"16,600","5,600",1,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-103,GUNN,HESTRIN,MURDER,WC,D,09/19/2017,30,0,30,INSTALLED AND USED,30,110,47,"3,319",134,"16,600","5,600",3,0,0,0,0,0,,
CALIFORNIA,RIVERSIDE,2017-104,GUNN,HESTRIN,MURDER,WC,D,09/12/2017,30,0,30,INSTALLED AND USED,30,340,228,"10,202",450,"97,800","16,800",1,0,0,0,0,0,,
