Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
COLORADO,2017-67,BLACKBURN,BLANCO,NARCOTICS,"WC,TX",D,02/01/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-68,BLACKBURN,BLANCO,NARCOTICS,"WC,TX",D,01/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-69,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,08/11/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-70,BLACKBURN,HULSER,NARCOTICS,WC,D,06/19/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-71,BLACKBURN,HULSER,NARCOTICS,"WC,TX",D,06/19/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-72,BLACKBURN,HULSER,NARCOTICS,"WC,TX",D,05/19/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-73,BLACKBURN,,CORRUPTION,"WC,TX",D,02/23/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-74,BLACKBURN,,CORRUPTION,WC,D,03/24/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-75,EBEL,DOWNING,NARCOTICS,WC,D,01/05/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-76,KRIEGER,HULSER,CORRUPTION,WC,D,06/02/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-77,BLACKBURN,HULSER,CORRUPTION,"WC,TX",D,05/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-78,BLACKBURN,,NARCOTICS,"WC,TX",D,01/23/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-79,BLACKBURN,,NARCOTICS,"WC,TX",D,02/21/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-80,DANIEL,,NARCOTICS,"WC,TX,EO",D,08/16/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-81,BLACKBURN,,NARCOTICS,"WC,TX",D,03/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-82,DANIEL,HULSER,NARCOTICS,"WC,TX,EO",D,11/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-83,BLACKBURN,,NARCOTICS,"WC,TX",D,07/28/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-84,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,09/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-85,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,08/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-86,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,08/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-87,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,11/08/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-88,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,07/12/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-89,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,06/23/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-90,DANIEL,HULSER,NARCOTICS,"WC,TX,EO",D,10/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-91,BLACKBURN,HULSER,NARCOTICS,"WC,TX",D,05/09/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-92,"LEUTWYLER, III",,DRUGS - ILLEGAL,WC,D,05/12/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-93,BLACKBURN,,NARCOTICS,"WC,TX",D,10/24/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-94,BLACKBURN,HULSER,NARCOTICS,"WC,TX",D,08/31/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-95,BLACKBURN,HULSER,NARCOTICS,"WC,TX",D,08/31/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
COLORADO,2017-96,BLACKBURN,BLANCO,NARCOTICS,WC,D,01/09/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2016-70,VATTI,,NARCOTICS,"WC,TX",D,03/17/2016,30,1,60,INSTALLED AND USED,59,185,12,"10,959","4,543","56,132","1,950",11,0,0,0,0,0,,
CONNECTICUT,2016-71,UNDERHILL,,NARCOTICS,"WC,TX",D,04/07/2016,30,1,60,INSTALLED AND USED,60,192,20,"11,534","4,359","92,880","40,592",3,0,0,0,0,3,,
CONNECTICUT,2016-72,UNDERHILL,,NARCOTICS,"WC,TX",D,06/14/2016,30,0,30,INSTALLED AND USED,4,0,0,0,0,"10,011","3,028",0,0,0,0,0,0,,RELATED TO NO. 2016-71
CONNECTICUT,2016-73,CHATIGNY,,NARCOTICS,WC,D,06/14/2016,30,1,60,INSTALLED AND USED,60,28,111,"1,682",664,"122,839","3,044",16,0,0,0,0,5,,
CONNECTICUT,2016-74,THOMPSON,,NARCOTICS,WC,R,10/05/2016,30,1,60,INSTALLED AND USED,60,411,146,"24,674","2,576","119,047","4,802",19,0,0,0,0,16,,
CONNECTICUT,2016-75,THOMPSON,,NARCOTICS,WC,D,11/17/2016,30,0,30,INSTALLED AND USED,30,65,130,"1,952",793,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-73,RELATED TO NO. 2016-73
CONNECTICUT,2016-116,UNDERHILL,,DRUGS - ILLEGAL,"WC,TX",D,11/17/2016,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2016-118,UNDERHILL,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,05/06/2016,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2016-119,UNDERHILL,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,04/04/2016,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2016-120,UNDERHILL,,DRUGS - ILLEGAL,"WC,TX",D,11/17/2016,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-7,THOMPSON,,NARCOTICS,WC,R,01/25/2017,30,0,30,INSTALLED AND USED,30,142,59,"4,263",917,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
CONNECTICUT,2017-8,THOMPSON,,NARCOTICS,WC,R,03/16/2017,30,0,30,INSTALLED AND USED,30,159,8,"4,788",0,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
CONNECTICUT,2017-9,YOUNG,,NARCOTICS,"WC,TX",D,03/27/2017,30,0,30,INSTALLED AND USED,30,41,73,"1,247","1,038",,,0,0,0,0,0,0,RELATED TO NO. 2017-12,RELATED TO NO. 2017-12
CONNECTICUT,2017-10,UNDERHILL,,OTHER,WC,D,05/04/2017,30,0,30,INSTALLED AND USED,30,0,7,14,14,"8,267",720,0,0,0,0,0,0,,
CONNECTICUT,2017-11,BOLDEN,,OTHER,WC,D,05/12/2017,30,0,30,INSTALLED AND USED,30,18,78,561,521,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-10,RELATED TO NO. 2017-10
CONNECTICUT,2017-12,TALWANI,,NARCOTICS,"WC,TX",D,08/04/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"33,093","1,750",7,0,0,0,0,0,,
CONNECTICUT,2017-13,"SAYLOR, IV",,NARCOTICS,"WC,TX",D,07/05/2017,30,1,60,INSTALLED AND USED,46,0,0,0,0,,,0,0,0,0,0,0,RELATED TO NO. 2017-12,RELATED TO NO. 2017-12
CONNECTICUT,2017-14,BOLDEN,,CONSPIRACY,WC,D,08/07/2017,30,1,60,INSTALLED AND USED,60,99,91,"5,948","4,400","145,173","2,031",0,0,0,0,0,0,,
CONNECTICUT,2017-15,THOMPSON,,NARCOTICS,WC,R,09/12/2017,30,0,30,INSTALLED AND USED,30,44,38,"1,324",294,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
CONNECTICUT,2017-16,THOMPSON,,NARCOTICS,WC,R,08/18/2017,30,1,60,INSTALLED AND USED,60,317,77,"19,076",775,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
CONNECTICUT,2017-17,BRYANT,,NARCOTICS,WC,D,10/04/2017,30,0,30,INSTALLED AND USED,28,29,68,837,369,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-73,RELATED TO NO. 2016-73
CONNECTICUT,2017-18,THOMPSON,,NARCOTICS,WC,R,10/26/2017,30,0,30,INSTALLED AND USED,30,81,13,"2,439",0,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
CONNECTICUT,2017-19,BOLDEN,,CONSPIRACY,WC,D,11/13/2017,30,0,30,INSTALLED AND USED,15,4,4,68,0,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-14,RELATED TO NO. 2017-14
CONNECTICUT,2017-20,BOLDEN,,NARCOTICS,"WC,TX",D,08/07/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-21,BOLDEN,HULSER,DRUGS - ILLEGAL,"WC,TX",D,05/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-22,BRYANT,CALDWELL,CONSPIRACY,WC,D,12/15/2016,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-23,SHEA,HULSER,CONSPIRACY,WC,D,05/24/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-24,SHEA,SWARTZ,CONSPIRACY,WC,D,04/18/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-25,BRYANT,SWARTZ,DRUGS - ILLEGAL,"WC,TX",D,10/04/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-26,SHEA,BLANCO,CONSPIRACY,WC,D,03/27/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-27,SHEA,,CONSPIRACY,WC,D,02/23/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-28,SHEA,,CONSPIRACY,WC,D,02/06/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-29,BRYANT,,CONSPIRACY,WC,D,12/15/2016,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-30,BRYANT,,CONSPIRACY,WC,D,01/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-31,BOLDEN,,NARCOTICS,"WC,TX",D,08/07/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-32,SHEA,DOWNING,CONSPIRACY,WC,D,05/11/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-33,UNDERHILL,,DRUGS - ILLEGAL,"WC,TX",D,03/03/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-34,UNDERHILL,DOWNING,DRUGS - ILLEGAL,"WC,TX",D,05/04/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-35,THOMPSON,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,10/26/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-36,THOMPSON,HULSER,DRUGS - ILLEGAL,"WC,TX",D,09/12/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-37,THOMPSON,HULSER,DRUGS - ILLEGAL,"WC,TX",D,08/18/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-38,THOMPSON,,DRUGS - ILLEGAL,"WC,TX",D,03/15/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-39,BOLDEN,HULSER,NARCOTICS,"WC,TX",D,11/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-40,SHEA,HULSER,CONSPIRACY,WC,D,05/24/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-41,UNDERHILL,,CONSPIRACY,"WC,TX",D,03/17/2017,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-42,UNDERHILL,,CONSPIRACY,"WC,TX",D,03/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-43,THOMPSON,,DRUGS - ILLEGAL,"WC,TX",D,01/25/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-44,UNDERHILL,DOWNING,CONSPIRACY,"WC,TX",D,01/13/2017,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-45,UNDERHILL,,DRUGS - ILLEGAL,"WC,TX",D,01/06/2017,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-46,UNDERHILL,,DRUGS - ILLEGAL,"WC,TX",D,12/07/2016,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-48,THOMPSON,CALDWELL,DRUGS - ILLEGAL,WC,D,10/05/2016,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-52,UNDERHILL,BLANCO,CONSPIRACY,"WC,TX",D,04/21/2017,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
CONNECTICUT,2017-53,UNDERHILL,,CONSPIRACY,"WC,TX",D,02/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DELAWARE,2015-1,ANDREWS,,NARCOTICS,WC,D,11/10/2015,30,0,30,INSTALLED AND USED,30,4,14,133,24,0,0,0,0,0,0,0,0,RELATED TO NO. 2015-39,RELATED TO NO. 2015-39
DELAWARE,2015-39,ANDREWS,,NARCOTICS,WC,D,09/21/2015,30,0,30,INSTALLED AND USED,30,102,102,"3,086",612,"88,112","44,387",0,0,0,0,0,0,,
DELAWARE,2015-40,ANDREWS,,NARCOTICS,WC,D,10/23/2015,30,0,30,INSTALLED AND USED,30,10,15,309,16,0,0,0,0,0,0,0,0,RELATED TO NO. 2015-39,RELATED TO NO. 2015-39
DELAWARE,2016-26,STARK,,NARCOTICS,"WC,TX",D,05/13/2016,30,2,90,INSTALLED AND USED,66,135,20,"8,955","2,874","83,847","1,875",8,0,0,0,0,0,,
DELAWARE,2016-27,STARK,,NARCOTICS,"WC,TX",D,10/04/2016,30,0,30,INSTALLED AND USED,14,8,4,116,48,"13,217",643,0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2013-47,LEON,,NARCOTICS,"WC,TX",D,12/26/2012,30,1,60,INSTALLED AND USED,60,0,0,0,0,"76,520","2,000",0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2015-85,CHUTKAN,BLANCO,DRUGS - PRESCRIPTION,WC,D,07/31/2015,30,4,150,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2015-87,CHUTKAN,BLANCO,DRUGS - PRESCRIPTION,WC,D,05/18/2015,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2015-89,CHUTKAN,O'BRIEN,DRUGS - PRESCRIPTION,WC,D,04/13/2015,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2015-90,CHUTKAN,O'BRIEN,DRUGS - PRESCRIPTION,WC,D,04/13/2015,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2015-91,CHUTKAN,BITKOWER,DRUGS - PRESCRIPTION,WC,D,02/09/2015,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2016-31,WALTON,,CONSPIRACY,"WC,WS",D,01/29/2016,30,0,30,INSTALLED AND USED,30,26,40,793,39,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-32,RELATED TO NO. 2016-32
DISTRICT OF COLUMBIA,2016-32,WALTON,,CONSPIRACY,"WC,WS",D,01/29/2016,30,1,60,INSTALLED AND USED,30,178,0,"5,360","1,473","326,490","9,900",14,0,1,4,1,13,,
DISTRICT OF COLUMBIA,2016-33,WALTON,,CONSPIRACY,"WC,WS",D,03/24/2016,30,2,90,INSTALLED AND USED,60,493,43,"29,601","6,438",0,0,0,0,0,0,0,0,RELATED TO NO. 2016-32,RELATED TO NO. 2016-32
DISTRICT OF COLUMBIA,2016-34,BOASBERG,,NARCOTICS,WC,D,06/30/2016,30,0,30,INSTALLED AND USED,0,0,15,150,150,"32,394","1,600",0,0,0,0,0,0,,RELATED TO NO. 2015-48
DISTRICT OF COLUMBIA,2016-35,WALTON,,CONSPIRACY,"WC,WS",D,07/12/2016,30,1,60,INSTALLED AND USED,60,13,40,793,39,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-32,RELATED TO NO. 2016-32
DISTRICT OF COLUMBIA,2016-36,TITUS,,NARCOTICS,"WC,TX",D,09/30/2016,30,0,30,INSTALLED AND USED,30,36,19,"1,100",596,"39,760","2,500",0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2016-77,CHUTKAN,BLANCO,DRUGS - PRESCRIPTION,WC,D,11/12/2015,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-8,COLLYER,,NARCOTICS,"WC,WS",D,12/08/2016,30,2,90,INSTALLED AND USED,90,15,30,"1,360","1,360","128,026","6,872",0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2017-9,JACKSON,,CONSPIRACY,"WC,WS",D,03/27/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"15,478",720,2,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2017-10,LEON,,NARCOTICS,WC,D,02/28/2017,30,1,60,INSTALLED AND USED,60,0,0,0,0,"63,068","1,113",0,0,0,0,0,0,,RELATED TO NO. 2017-12
DISTRICT OF COLUMBIA,2017-12,LEON,,NARCOTICS,WC,D,01/05/2017,30,3,120,INSTALLED AND USED,105,143,17,"15,088","1,270","111,453","1,650",0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2017-13,CONTRERAS,,NARCOTICS,WC,D,03/27/2017,30,1,60,INSTALLED AND USED,60,63,28,"3,783",945,"63,357","3,200",0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2017-14,JACKSON,,NARCOTICS,"WC,WS",D,04/12/2017,30,1,60,INSTALLED AND USED,60,1,6,84,84,"91,759",830,1,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2017-15,COLLYER,,NARCOTICS,"WC,WS",D,04/25/2017,30,1,60,INSTALLED AND USED,60,23,30,"1,436","1,436","84,459","1,230",0,0,0,0,0,0,,RELATED TO NO. 2017-8
DISTRICT OF COLUMBIA,2017-16,LEON,,NARCOTICS,WC,D,06/26/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"31,857",615,0,0,0,0,0,0,,RELATED TO NO. 2017-12
DISTRICT OF COLUMBIA,2017-17,COLLYER,,NARCOTICS,"WC,WS",D,07/25/2017,30,0,30,INSTALLED AND USED,15,10,30,160,160,"44,320","1,040",0,0,0,0,0,0,,RELATED TO NO. 2017-8
DISTRICT OF COLUMBIA,2017-18,CONTRERAS,,NARCOTICS,WC,D,07/20/2017,30,0,30,INSTALLED AND USED,30,14,18,440,79,"31,670","1,480",0,0,0,0,0,0,,RELATED TO NO. 2017-13
DISTRICT OF COLUMBIA,2017-19,JACKSON,,NARCOTICS,WC,D,08/22/2017,30,1,60,INSTALLED AND USED,60,0,0,0,0,"36,857","1,020",0,0,0,0,0,0,,RELATED TO NO. 2017-12
DISTRICT OF COLUMBIA,2017-20,LEON,,NARCOTICS,WC,D,10/04/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"15,129",130,0,0,0,0,0,0,,RELATED TO NO. 2017-12
DISTRICT OF COLUMBIA,2017-21,CONTRERAS,,NARCOTICS,WC,D,08/21/2017,30,1,60,INSTALLED AND USED,60,21,10,"1,302",112,"31,966","1,250",0,0,0,0,0,0,,RELATED TO NO. 2017-13
DISTRICT OF COLUMBIA,2017-22,MOSS,,NARCOTICS,WC,D,09/05/2017,30,1,60,INSTALLED AND USED,60,13,43,839,0,"60,512","4,800",0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2017-23,MEHTA,,NARCOTICS,WC,D,10/27/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"14,338",482,0,0,0,0,0,0,,RELATED TO NO. 2017-12
DISTRICT OF COLUMBIA,2017-24,MOSS,,NARCOTICS,WC,D,11/09/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-22,RELATED TO NO. 2017-22
DISTRICT OF COLUMBIA,2017-27,MOSS,SWARTZ,DRUGS - ILLEGAL,WC,D,09/05/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-28,CONTRERAS,,DRUGS - ILLEGAL,WC,D,07/20/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-29,CONTRERAS,,DRUGS - ILLEGAL,WC,D,03/27/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-30,LEON,BLANCO,NARCOTICS,"WC,TX",D,08/22/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-32,MOSS,HULSER,DRUGS - ILLEGAL,WC,D,11/09/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-33,MOSS,,DRUGS - ILLEGAL,WC,D,10/16/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-34,LEON,BLANCO,NARCOTICS,"WC,TX",D,10/04/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-35,LEON,BLANCO,NARCOTICS,"WC,TX",D,10/30/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-36,CONTRERAS,DOWNING,DRUGS - ILLEGAL,WC,D,08/21/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-38,LEON,BLANCO,NARCOTICS,"WC,TX",D,06/27/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-40,LEON,BLANCO,NARCOTICS,"WC,TX",D,03/01/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-44,LEON,,DRUGS - ILLEGAL,WC,D,01/05/2017,30,10,330,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-45,COLLYER,BLANCO,NARCOTICS,WC,D,04/25/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-46,COLLYER,BLANCO,NARCOTICS,WC,D,07/25/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2017-47,COLLYER,DOWNING,NARCOTICS,WC,D,12/08/2016,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"FLORIDA, MIDDLE",2012-28,DALTON,,NARCOTICS,WC,D,05/07/2012,30,0,30,INSTALLED AND USED,30,0,0,0,0,"39,153","1,893",0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2012-29,PRESNELL,,NARCOTICS,"WC,TX",D,08/07/2012,30,0,30,INSTALLED AND USED,15,0,0,0,0,"28,505","3,500",0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2012-30,DALTON,,NARCOTICS,"WC,TX",D,08/21/2012,30,0,30,INSTALLED AND USED,29,0,0,0,0,"36,643",625,0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2012-31,HONEYWELL,,NARCOTICS,WC,D,09/11/2012,30,0,30,INSTALLED AND USED,30,0,0,0,0,"37,932",672,0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2012-32,SCHLESINGER,,NARCOTICS,WC,D,09/25/2012,30,0,30,INSTALLED AND USED,28,0,0,0,0,"36,201","1,425",3,0,0,0,0,0,,
"FLORIDA, MIDDLE",2012-33,HONEYWELL,,NARCOTICS,"WC,TX",D,10/12/2012,30,0,30,INSTALLED AND USED,30,0,0,0,0,"37,932",672,0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2013-46,DALTON,,NARCOTICS,WC,D,07/01/2013,30,0,30,INSTALLED AND USED,30,22,32,666,67,"27,428","1,360",0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2013-47,HONEYWELL,,NARCOTICS,"WC,TX",D,08/20/2013,30,1,60,INSTALLED AND USED,44,46,74,"2,048","1,463","44,019","2,400",3,0,0,0,0,0,,
"FLORIDA, MIDDLE",2013-48,DALTON,,NARCOTICS,"WC,TX",D,09/26/2013,30,0,30,INSTALLED AND USED,29,0,0,0,0,"33,450","3,450",0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2015-43,BYRON,,NARCOTICS,EO,D,02/27/2015,30,2,90,INSTALLED AND USED,82,0,0,0,0,"79,875","3,039",0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2016-67,HERNANDEZ-COVINGTON,,NARCOTICS,WC,D,08/01/2016,30,0,30,INSTALLED AND USED,30,0,0,0,0,"27,313","1,700",0,0,0,0,0,0,,
"FLORIDA, MIDDLE",2016-68,HONEYWELL,,NARCOTICS,"WC,TX",D,08/22/2016,30,0,30,INSTALLED AND USED,21,0,0,0,0,"7,646",775,0,0,0,0,0,0,,
