,Jurisdiction,A.O. Number,Judge,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related,year,month
533,"CALIFORNIA, SOUTHERN",2016-497,ANELLO,NARCOTICS,WC,D,2016-10-12,30.0,0.0,30.0,INSTALLED AND USED,6.0,3.0,47,21,18,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,10.0
534,"CALIFORNIA, SOUTHERN",2016-498,ANELLO,NARCOTICS,WC,D,2016-10-12,30.0,0.0,30.0,INSTALLED AND USED,9.0,160.0,64,"1,443",325,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,10.0
535,"CALIFORNIA, SOUTHERN",2016-499,SAMMARTINO,NARCOTICS,"WC,TX",D,2016-09-15,30.0,0.0,30.0,INSTALLED AND USED,30.0,9.0,17,283,241,29691,"3,776",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
536,"CALIFORNIA, SOUTHERN",2016-500,ANELLO,NARCOTICS,WC,D,2016-09-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,408.0,132,"12,254","4,352",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,9.0
537,"CALIFORNIA, SOUTHERN",2016-501,ANELLO,NARCOTICS,WC,D,2016-09-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,275.0,59,"8,275","2,037",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,9.0
538,"CALIFORNIA, SOUTHERN",2016-502,ANELLO,NARCOTICS,WC,D,2016-09-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,410.0,219,"12,305","3,226",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,9.0
539,"CALIFORNIA, SOUTHERN",2016-503,ANELLO,NARCOTICS,WC,D,2016-09-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,539.0,245,"16,193","5,515",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,9.0
540,"CALIFORNIA, SOUTHERN",2016-504,MOSKOWITZ,NARCOTICS,WC,D,2016-09-28,30.0,0.0,30.0,INSTALLED AND USED,30.0,685.0,73,"20,554","7,000",220226,"10,370",50.0,0.0,0.0,0.0,0.0,40.0,,,2016.0,9.0
541,"CALIFORNIA, SOUTHERN",2016-505,ANELLO,NARCOTICS,WC,D,2016-10-12,30.0,0.0,30.0,INSTALLED AND USED,16.0,369.0,107,"5,905","1,860",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,10.0
542,"CALIFORNIA, SOUTHERN",2016-506,CURIEL,CONSPIRACY,"WC,OM",D,2016-10-17,30.0,0.0,30.0,INSTALLED AND USED,15.0,9.0,3,137,2,116874,"3,285",,,,,,,,,2016.0,10.0
543,"CALIFORNIA, SOUTHERN",2016-507,ANELLO,NARCOTICS,WC,D,2016-10-12,30.0,0.0,30.0,INSTALLED AND USED,25.0,3848.0,986,"96,215","25,201",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,10.0
544,"CALIFORNIA, SOUTHERN",2016-508,ANELLO,NARCOTICS,WC,D,2016-10-12,30.0,0.0,30.0,INSTALLED AND USED,29.0,300.0,163,"8,722","2,446",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,10.0
545,"CALIFORNIA, SOUTHERN",2016-509,ANELLO,NARCOTICS,WC,D,2016-10-12,30.0,0.0,30.0,INSTALLED AND USED,30.0,207.0,267,"6,226","1,968",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,10.0
546,"CALIFORNIA, SOUTHERN",2016-510,ANELLO,NARCOTICS,WC,D,2016-11-09,30.0,0.0,30.0,INSTALLED AND USED,14.0,2.0,82,41,18,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,11.0
547,"CALIFORNIA, SOUTHERN",2016-511,ANELLO,NARCOTICS,WC,D,2016-11-09,30.0,0.0,30.0,INSTALLED AND USED,15.0,918.0,118,"13,784",0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,11.0
548,"CALIFORNIA, SOUTHERN",2016-512,LORENZ,NARCOTICS,"WC,TX",D,2016-11-03,30.0,0.0,30.0,INSTALLED AND USED,30.0,23.0,77,708,252,26375,"1,600",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
549,"CALIFORNIA, SOUTHERN",2016-513,BASHANT,NARCOTICS,TX,D,2016-11-07,30.0,0.0,30.0,INSTALLED AND USED,30.0,758.0,889,"22,758","9,717",74535,"4,773",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-521,2016.0,11.0
550,"CALIFORNIA, SOUTHERN",2016-514,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,15.0,49.0,136,743,129,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,11.0
551,"CALIFORNIA, SOUTHERN",2016-515,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,15.0,92.0,120,"1,389",573,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-425,,2016.0,11.0
552,"CALIFORNIA, SOUTHERN",2016-516,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,16.0,144.0,13,"2,305","1,103",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,11.0
553,"CALIFORNIA, SOUTHERN",2016-517,CURIEL,CONSPIRACY,"WC,OM",D,2016-11-18,30.0,0.0,30.0,INSTALLED AND USED,30.0,56.0,100,"1,700",400,220632,"1,285",,,,,,,RELATED TO NO. 2016-518,,2016.0,11.0
554,"CALIFORNIA, SOUTHERN",2016-518,CURIEL,CONSPIRACY,"WC,OM",D,2016-11-18,30.0,0.0,30.0,INSTALLED AND USED,30.0,123.0,150,"3,712",600,220632,"1,285",,,,,,,,,2016.0,11.0
555,"CALIFORNIA, SOUTHERN",2016-519,CURIEL,CONSPIRACY,"WC,OM",D,2016-10-17,30.0,1.0,60.0,INSTALLED AND USED,30.0,70.0,180,"2,125","1,374",116874,"3,285",,,,,,,RELATED TO NO. 2016-506,,2016.0,10.0
556,"CALIFORNIA, SOUTHERN",2016-520,BASHANT,NARCOTICS,"TX,EO",D,2016-11-21,30.0,0.0,30.0,INSTALLED AND USED,30.0,4.0,4,130,5,43806,752,,,,,,,,,2016.0,11.0
557,"CALIFORNIA, SOUTHERN",2016-521,BASHANT,NARCOTICS,TX,D,2016-11-16,30.0,0.0,30.0,INSTALLED AND USED,30.0,172.0,56,"5,174","4,014",185454,"1,013",1.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
558,"CALIFORNIA, SOUTHERN",2016-522,MOSKOWITZ,NARCOTICS,WC,D,2016-11-02,30.0,1.0,60.0,INSTALLED AND USED,56.0,321.0,115,"17,977","6,210",0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-504,RELATED TO NO. 2016-504,2016.0,11.0
559,"CALIFORNIA, SOUTHERN",2016-523,HOUSTON,NARCOTICS,TX,D,2016-11-22,30.0,0.0,30.0,INSTALLED AND USED,30.0,215.0,213,"6,454","1,116",13911,752,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
560,"CALIFORNIA, SOUTHERN",2016-524,HOUSTON,NARCOTICS,TX,D,2016-08-31,30.0,2.0,90.0,INSTALLED AND USED,90.0,1295.0,"1,943","116,564","42,483",158074,"14,549",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-363,2016.0,8.0
561,"CALIFORNIA, SOUTHERN",2016-525,SABRAW,NARCOTICS,TX,D,2016-10-18,30.0,1.0,60.0,INSTALLED AND USED,60.0,51.0,79,"3,083","1,760",27822,"1,504",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,10.0
562,"CALIFORNIA, SOUTHERN",2016-526,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,30.0,110.0,102,"3,320",691,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,11.0
563,"CALIFORNIA, SOUTHERN",2016-527,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,30.0,124.0,34,"3,749","1,744",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,11.0
564,"CALIFORNIA, SOUTHERN",2016-528,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,30.0,129.0,16,"3,893","1,363",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,11.0
565,"CALIFORNIA, SOUTHERN",2016-529,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,0.0,30.0,INSTALLED AND USED,30.0,190.0,61,"5,720",0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,11.0
570,"CALIFORNIA, SOUTHERN",2017-117,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,0.0,30.0,INSTALLED AND USED,9.0,107.0,37,963,0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
571,"CALIFORNIA, SOUTHERN",2017-119,ANELLO,NARCOTICS,WC,D,2016-12-05,30.0,0.0,30.0,INSTALLED AND USED,30.0,27.0,,828,16,197382,"76,616",,,,,,,,,2016.0,12.0
572,"CALIFORNIA, SOUTHERN",2017-120,SAMMARTINO,NARCOTICS,"WC,TX,EO",D,2016-11-07,30.0,1.0,60.0,INSTALLED AND USED,58.0,216.0,167,"12,584","3,096",53992,"1,000",14.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
573,"CALIFORNIA, SOUTHERN",2017-121,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,0.0,30.0,INSTALLED AND USED,11.0,95.0,22,"1,050",459,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
574,"CALIFORNIA, SOUTHERN",2017-122,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,0.0,30.0,INSTALLED AND USED,12.0,160.0,35,"1,929",607,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
575,"CALIFORNIA, SOUTHERN",2017-123,BASHANT,NARCOTICS,"TX,EO",D,2016-12-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,114.0,12,"3,449","1,975",1089251,"337,913",,,,,,,,,2016.0,12.0
576,"CALIFORNIA, SOUTHERN",2017-124,BASHANT,NARCOTICS,"TX,EO",D,2016-12-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,20.0,9,604,188,27096,752,,,,,,,,,2016.0,12.0
577,"CALIFORNIA, SOUTHERN",2017-125,BASHANT,NARCOTICS,"TX,EO",D,2016-12-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,14.0,55,448,256,27096,752,,,,,,,RELATED TO NO. 2017-123,,2016.0,12.0
578,"CALIFORNIA, SOUTHERN",2017-126,BASHANT,NARCOTICS,"TX,EO",D,2016-12-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,2.0,7,69,43,27096,752,,,,,,,RELATED TO NO. 2017-123,,2016.0,12.0
579,"CALIFORNIA, SOUTHERN",2017-127,BASHANT,NARCOTICS,"TX,EO",D,2016-11-03,30.0,1.0,60.0,INSTALLED AND USED,60.0,296.0,103,"17,812","12,729",62135,"1,504",,,,,,,,,2016.0,11.0
580,"CALIFORNIA, SOUTHERN",2017-128,BASHANT,NARCOTICS,"TX,EO",D,2016-12-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,103.0,25,"3,093","1,568",27096,752,,,,,,,RELATED TO NO. 2017-123,,2016.0,12.0
581,"CALIFORNIA, SOUTHERN",2017-129,HUFF,NARCOTICS,"WC,TX",D,2016-05-24,30.0,2.0,90.0,INSTALLED AND USED,88.0,694.0,495,"61,096","17,940",163138,"5,410",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-444,2016.0,5.0
582,"CALIFORNIA, SOUTHERN",2017-130,ANELLO,NARCOTICS,WC,D,2016-08-25,30.0,2.0,90.0,INSTALLED AND USED,90.0,1440.0,221,"129,626","11,214",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,8.0
583,"CALIFORNIA, SOUTHERN",2017-131,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,114.0,17,"3,439",917,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
584,"CALIFORNIA, SOUTHERN",2017-132,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,274.0,267,"8,237","2,961",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
585,"CALIFORNIA, SOUTHERN",2017-133,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,0.0,30.0,INSTALLED AND USED,30.0,242.0,64,"7,266",0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
586,"CALIFORNIA, SOUTHERN",2017-134,BASHANT,NARCOTICS,TX,D,2016-10-18,30.0,2.0,90.0,INSTALLED AND USED,90.0,0.0,0,0,0,58968,"4,512",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,10.0
587,"CALIFORNIA, SOUTHERN",2017-135,BASHANT,NARCOTICS,TX,D,2016-09-01,30.0,3.0,120.0,INSTALLED AND USED,120.0,0.0,0,0,0,60313,"5,556",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
588,"CALIFORNIA, SOUTHERN",2017-136,BASHANT,NARCOTICS,"TX,EO",D,2017-01-13,30.0,0.0,30.0,INSTALLED AND USED,30.0,48.0,14,"1,466",942,27096,752,,,,,,,,,2017.0,1.0
589,"CALIFORNIA, SOUTHERN",2017-137,BASHANT,NARCOTICS,"TX,EO",D,2017-01-13,30.0,0.0,30.0,INSTALLED AND USED,30.0,427.0,60,"12,835","8,379",27096,752,,,,,,,,,2017.0,1.0
590,"CALIFORNIA, SOUTHERN",2017-138,BASHANT,NARCOTICS,"TX,EO",D,2017-01-13,30.0,0.0,30.0,INSTALLED AND USED,30.0,607.0,32,"18,219","8,441",27096,752,,,,,,,,,2017.0,1.0
591,"CALIFORNIA, SOUTHERN",2017-139,BASHANT,NARCOTICS,"TX,EO",D,2017-01-13,30.0,0.0,30.0,INSTALLED AND USED,30.0,55.0,14,"1,656",942,27096,752,,,,,,,,,2017.0,1.0
592,"CALIFORNIA, SOUTHERN",2017-140,BASHANT,NARCOTICS,"TX,EO",D,2017-01-13,30.0,0.0,30.0,INSTALLED AND USED,30.0,86.0,23,"2,592","1,242",27096,752,,,,,,,,,2017.0,1.0
593,"CALIFORNIA, SOUTHERN",2017-141,ANELLO,NARCOTICS,WC,D,2016-11-29,30.0,2.0,90.0,INSTALLED AND USED,75.0,571.0,224,"42,870","11,828",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,11.0
594,"CALIFORNIA, SOUTHERN",2017-142,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,1.0,60.0,INSTALLED AND USED,50.0,156.0,307,"7,810","2,393",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
595,"CALIFORNIA, SOUTHERN",2017-143,LORENZ,NARCOTICS,"WC,TX",D,2017-01-18,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,57043,"3,200",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,1.0
596,"CALIFORNIA, SOUTHERN",2017-144,ANELLO,NARCOTICS,WC,D,2016-12-23,30.0,1.0,60.0,INSTALLED AND USED,56.0,337.0,114,"18,910","7,128",,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-450,,2016.0,12.0
597,"CALIFORNIA, SOUTHERN",2017-145,CURIEL,CONSPIRACY,"WC,OM,TX",D,2017-01-24,30.0,0.0,30.0,INSTALLED AND USED,30.0,127.0,81,"3,810",511,151200,"4,270",38.0,,,,,,,,2017.0,1.0
598,"CALIFORNIA, SOUTHERN",2017-146,BENCIVENGO,NARCOTICS,"WC,TX",D,2017-01-27,30.0,0.0,30.0,INSTALLED AND USED,30.0,97.0,123,"2,916",397,42435,"5,175",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,1.0
599,"CALIFORNIA, SOUTHERN",2017-147,BENCIVENGO,NARCOTICS,"WC,TX",D,2016-11-03,30.0,1.0,60.0,INSTALLED AND USED,56.0,141.0,343,"7,904","1,305",78720,"4,200",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
600,"CALIFORNIA, SOUTHERN",2017-148,CURIEL,CONSPIRACY,"WC,OM,TX",D,2017-02-24,9.0,0.0,9.0,INSTALLED AND USED,9.0,60.0,47,543,13,151200,"4,270",38.0,,,,,,RELATED TO NO. 2017-145,RELATED TO NO. 2017-145,2017.0,2.0
601,"CALIFORNIA, SOUTHERN",2017-149,LORENZ,NARCOTICS,"WC,TX",D,2016-12-09,30.0,2.0,90.0,INSTALLED AND USED,90.0,113.0,630,"10,198",748,79415,"8,150",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,12.0
602,"CALIFORNIA, SOUTHERN",2017-150,BASHANT,NARCOTICS,"TX,EO",D,2017-02-24,30.0,0.0,30.0,INSTALLED AND USED,2.0,138.0,10,277,122,27096,752,,,,,,,,,2017.0,2.0
603,"CALIFORNIA, SOUTHERN",2017-151,BASHANT,NARCOTICS,"TX,EO",D,2017-02-24,30.0,0.0,30.0,INSTALLED AND USED,30.0,459.0,32,"13,789","7,627",27096,752,,,,,,,,,2017.0,2.0
604,"CALIFORNIA, SOUTHERN",2017-152,BASHANT,NARCOTICS,"TX,EO",D,2017-02-24,30.0,0.0,30.0,INSTALLED AND USED,30.0,1061.0,79,"31,832","4,483",27096,752,,,,,,,,,2017.0,2.0
605,"CALIFORNIA, SOUTHERN",2017-153,BASHANT,NARCOTICS,"TX,EO",D,2017-02-24,30.0,0.0,30.0,INSTALLED AND USED,30.0,50.0,27,"1,517",844,27096,752,,,,,,,,,2017.0,2.0
606,"CALIFORNIA, SOUTHERN",2017-154,BASHANT,NARCOTICS,"TX,EO",D,2017-02-24,30.0,0.0,30.0,INSTALLED AND USED,30.0,66.0,15,"1,987","1,498",27096,752,,,,,,,,,2017.0,2.0
607,"CALIFORNIA, SOUTHERN",2017-155,BENCIVENGO,NARCOTICS,"WC,TX",D,2017-03-07,30.0,0.0,30.0,INSTALLED AND USED,21.0,0.0,24,3,0,28859,775,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
608,"CALIFORNIA, SOUTHERN",2017-156,HOUSTON,NARCOTICS,WC,D,2017-03-02,30.0,0.0,30.0,INSTALLED AND USED,29.0,622.0,324,"18,048","5,274",59274,"2,026",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
609,"CALIFORNIA, SOUTHERN",2017-157,SAMMARTINO,NARCOTICS,"WC,TX",D,2017-03-03,30.0,0.0,30.0,INSTALLED AND USED,30.0,970.0,368,"29,109","10,054",102533,"6,475",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-120,2017.0,3.0
610,"CALIFORNIA, SOUTHERN",2017-158,SAMMARTINO,NARCOTICS,"WC,TX",D,2017-02-06,30.0,1.0,60.0,INSTALLED AND USED,40.0,65.0,176,"2,603","1,060",28812,"6,450",0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-120,RELATED TO NO. 2017-120,2017.0,2.0
611,"CALIFORNIA, SOUTHERN",2017-159,LORENZ,NARCOTICS,WC,D,2017-03-27,30.0,0.0,30.0,INSTALLED AND USED,16.0,69.0,6,"1,118",298,21596,472,3.0,0.0,0.0,0.0,0.0,2.0,,,2017.0,3.0
612,"CALIFORNIA, SOUTHERN",2017-160,BASHANT,NARCOTICS,"TX,EO",D,2017-03-21,30.0,1.0,60.0,INSTALLED AND USED,30.0,200.0,15,"6,000","3,345",55103,"1,013",,,,,,,,,2017.0,3.0
613,"CALIFORNIA, SOUTHERN",2017-161,BENCIVENGO,NARCOTICS,"WC,TX",D,2017-03-30,30.0,0.0,30.0,INSTALLED AND USED,22.0,61.0,77,"1,355",232,28099,775,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
614,"CALIFORNIA, SOUTHERN",2017-162,LORENZ,NARCOTICS,"WC,TX",D,2017-02-15,30.0,1.0,60.0,INSTALLED AND USED,60.0,33.0,112,"2,019",526,80018,"3,200",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,2.0
615,"CALIFORNIA, SOUTHERN",2017-163,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,7,91,29,36043,752,,,,,,,,,2017.0,4.0
616,"CALIFORNIA, SOUTHERN",2017-164,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,0.0,30.0,INSTALLED AND USED,30.0,17.0,9,535,342,36043,752,,,,,,,,,2017.0,4.0
617,"CALIFORNIA, SOUTHERN",2017-165,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,0.0,30.0,INSTALLED AND USED,30.0,40.0,11,"1,204",512,36043,752,,,,,,,,,2017.0,4.0
618,"CALIFORNIA, SOUTHERN",2017-166,HOUSTON,$LAUNDERING,"TX,EO",D,2017-04-21,30.0,0.0,30.0,INSTALLED AND USED,30.0,212.0,17,"6,360","6,224",40579,"1,013",,,,,,,,,2017.0,4.0
619,"CALIFORNIA, SOUTHERN",2017-167,HOUSTON,$LAUNDERING,"TX,EO",D,2017-02-28,30.0,1.0,60.0,INSTALLED AND USED,51.0,82.0,46,"4,223","4,075",40579,"1,013",,,,,,,,,2017.0,2.0
620,"CALIFORNIA, SOUTHERN",2017-168,HOUSTON,$LAUNDERING,"TX,EO",D,2017-04-21,30.0,0.0,30.0,INSTALLED AND USED,30.0,466.0,30,"14,001","13,678",40579,"1,013",,,,,,,,,2017.0,4.0
621,"CALIFORNIA, SOUTHERN",2017-169,BASHANT,NARCOTICS,"TX,EO",D,2017-04-27,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,4,46,3,28222,"1,013",,,,,,,,,2017.0,4.0
622,"CALIFORNIA, SOUTHERN",2017-170,BASHANT,NARCOTICS,"TX,EO",D,2017-05-05,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,1,4,0,,,,,,,,,,,2017.0,5.0
623,"CALIFORNIA, SOUTHERN",2017-171,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,1.0,60.0,INSTALLED AND USED,60.0,115.0,42,"6,932","3,733",73208,"1,504",,,,,,,,,2017.0,4.0
624,"CALIFORNIA, SOUTHERN",2017-172,BASHANT,NARCOTICS,"TX,EO",D,2017-05-05,30.0,0.0,30.0,INSTALLED AND USED,30.0,87.0,"1,256","2,619",517,,,,,,,,,,,2017.0,5.0
625,"CALIFORNIA, SOUTHERN",2017-173,BASHANT,NARCOTICS,"TX,EO",D,2017-02-24,30.0,2.0,90.0,INSTALLED AND USED,90.0,122.0,134,"10,999","7,057",99552,"1,504",,,,,,,,,2017.0,2.0
626,"CALIFORNIA, SOUTHERN",2017-174,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,1.0,60.0,INSTALLED AND USED,60.0,1274.0,"1,111","76,488","19,042",72456,752,,,,,,,,,2017.0,4.0
627,"CALIFORNIA, SOUTHERN",2017-175,HAYES,$LAUNDERING,WC,D,2017-03-27,30.0,1.0,60.0,INSTALLED AND USED,60.0,10.0,24,659,0,250,250,2.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
628,"CALIFORNIA, SOUTHERN",2017-176,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,1.0,60.0,INSTALLED AND USED,60.0,697.0,77,"41,830","23,814",72456,752,,,,,,,,,2017.0,4.0
629,"CALIFORNIA, SOUTHERN",2017-177,BASHANT,NARCOTICS,"TX,EO",D,2017-04-04,30.0,1.0,60.0,INSTALLED AND USED,60.0,155.0,36,"9,325","6,297",72456,752,,,,,,,,,2017.0,4.0
630,"CALIFORNIA, SOUTHERN",2017-178,BATTAGLIA,FIREARMS,WC,D,2017-05-18,30.0,0.0,30.0,INSTALLED AND USED,21.0,489.0,270,"10,289","1,642",86630,"5,940",1.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,5.0
631,"CALIFORNIA, SOUTHERN",2017-179,BENCIVENGO,NARCOTICS,"WC,TX",D,2017-06-07,30.0,0.0,30.0,INSTALLED AND USED,30.0,405.0,208,"12,166","1,825",41235,"3,975",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,6.0
632,"CALIFORNIA, SOUTHERN",2017-180,BURNS,NARCOTICS,"WC,TX",D,2017-06-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,280.0,102,"8,402","1,472",30368,"1,600",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,6.0
633,"CALIFORNIA, SOUTHERN",2017-181,BATTAGLIA,NARCOTICS,WC,D,2017-06-30,30.0,0.0,30.0,INSTALLED AND USED,30.0,142.0,234,"4,274",449,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-178,RELATED TO NO. 2017-178,2017.0,6.0
634,"CALIFORNIA, SOUTHERN",2017-182,HAYES,$LAUNDERING,WC,D,2017-07-07,30.0,0.0,30.0,INSTALLED AND USED,30.0,39.0,53,"1,193",88,32767,"3,160",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-175,2017.0,7.0
635,"CALIFORNIA, SOUTHERN",2017-183,HOUSTON,NARCOTICS,WC,D,2017-08-23,30.0,0.0,30.0,INSTALLED AND USED,19.0,129.0,48,"2,460",110,38898,698,1.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,8.0
636,"CALIFORNIA, SOUTHERN",2017-184,SABRAW,NARCOTICS,WC,D,2017-06-30,30.0,2.0,90.0,INSTALLED AND USED,85.0,388.0,470,"32,989","22,077",758098,"2,314",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-159,2017.0,6.0
637,"CALIFORNIA, SOUTHERN",2017-185,HOUSTON,NARCOTICS,WC,D,2017-10-10,30.0,0.0,30.0,INSTALLED AND USED,24.0,43.0,29,"1,046",75,10341,582,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-183,2017.0,10.0
669,COLORADO,2012-75,ARGUELLO,NARCOTICS,WC,D,2012-02-01,30.0,0.0,30.0,INSTALLED AND USED,3.0,0.0,0,0,0,2500,"2,500",0.0,0.0,0.0,0.0,0.0,0.0,,,2012.0,2.0
